,BMET1_Distal
HES3,0
GPR153,2
ACOT7,26
RP1-202O8.3,1
HES2,17
ESPN,4
RP1-202O8.2,1
TNFRSF25,101
PLEKHG5,3
NOL9,62
TAS1R1,0
ZBTB48,29
KLHL21,44
PHF13,19
THAP3,18
DNAJC11,32
RP11-242F24.1,8
RP11-312B8.1,1
CAMTA1,182
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,0
RP11-338N10.3,0
VAMP3,61
PER3,13
RP3-467L1.4,0
UTS2,1
TNFRSF9,15
PARK7,721
ERRFI1,32
RP11-431K24.1,2
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,0
RERE,85
RP5-1115A15.1,5
RP4-633I8.4,2
ENO1,907
ENO1-AS1,5
CA6,3
SLC2A7,0
SLC2A5,4
GPR157,18
RP3-510D11.1,0
RP3-510D11.2,1
H6PD,45
SPSB1,2
RP13-392I16.1,0
SLC25A33,24
TMEM201,12
PIK3CD,66
C1orf200,2
RP11-558F24.4,15
CLSTN1,48
CTNNBIP1,21
RP11-84A14.5,0
LZIC,85
NMNAT1,100
RBP7,86
UBE4B,62
KIF1B,76
PGD,147
RP4-736L20.3,0
APITD1,34
APITD1-CORT,1
CORT,0
DFFA,81
RP5-1113E3.3,1
PEX14,19
CASZ1,11
RP4-734G22.3,1
C1orf127,0
TARDBP,202
MASP2,1
RP4-635E18.8,14
SRM,43
EXOSC10,64
RP4-635E18.7,0
RP4-635E18.6,1
MTOR,30
MTOR-AS1,0
ANGPTL7,0
UBIAD1,48
PTCHD2,0
RP1-69M21.2,0
FBXO2,2
FBXO44,44
FBXO6,32
MAD2L2,87
DRAXIN,40
AGTRAP,121
C1orf167,5
RP11-56N19.5,0
MTHFR,53
CLCN6,29
NPPA-AS1,4
NPPA,1
NPPB,0
KIAA2013,54
PLOD1,16
MFN2,43
MIIP,78
TNFRSF8,1
TNFRSF1B,279
VPS13D,54
RP5-888M10.2,0
DHRS3,38
RP11-474O21.5,1
AADACL4,0
AADACL3,0
C1orf158,1
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,18
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,0
PDPN,1
CTA-520D8.2,0
PRDM2,153
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,0
TMEM51,0
C1orf195,0
FHAD1,2
RP3-467K16.2,0
RP3-467K16.7,0
RP3-467K16.4,3
EFHD2,146
CTRC,1
CELA2A,2
CELA2B,0
CASP9,22
DNAJC16,31
RP4-680D5.8,0
AGMAT,21
RP4-680D5.2,2
DDI2,90
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,33
RP11-288I21.1,0
SLC25A34,0
RP11-169K16.4,0
TMEM82,0
FBLIM1,24
RP11-169K16.9,41
SPEN,142
ZBTB17,30
C1orf64,1
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,4
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,16
C1orf134,0
RSG1,1
FBXO42,60
SZRD1,100
SPATA21,6
NECAP2,220
RP4-798A10.2,8
RP4-798A10.7,2
RP4-798A10.4,1
U1,0
FAM231B,0
NBPF1,93
RP5-1182A14.5,0
CROCCP2,78
FAM231A,0
FAM231C,0
CROCC,8
RP11-108M9.1,0
RP11-108M9.2,0
U1,0
RP11-108M9.4,57
RP11-108M9.6,20
MFAP2,3
RP1-37C10.3,0
ATP13A2,19
SDHB,142
PADI2,12
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,35
AC004824.2,0
RP1-20B21.4,0
RCC2,77
ARHGEF10L,3
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,0
PAX7,0
TAS1R2,0
RP13-279N23.2,1
ALDH4A1,3
IFFO2,19
UBR4,123
RP1-43E13.2,9
EMC1,31
MRTO4,77
AKR7A3,0
AKR7A2,23
PQLC2,9
CAPZB,599
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,577
NBL1,8
HTR6,0
TMCO4,16
RNF186,0
RP11-91K11.2,0
OTUD3,12
PLA2G2E,0
PLA2G2A,0
PLA2G5,0
PLA2G2D,11
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,1
UBXN10-AS1,10
UBXN10,9
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,0
LINC01141,0
RP4-749H3.2,0
CAMK2N1,6
MUL1,15
FAM43B,0
CDA,31
PINK1,14
PINK1-AS,3
DDOST,300
KIF17,3
SH2D5,0
RP5-930J4.2,0
HP1BP3,471
RP5-930J4.4,2
EIF4G3,81
ECE1,46
RP3-329E20.2,0
RP5-1071N3.1,0
RP11-293F5.1,0
NBPF3,36
ALPL,0
RP11-63N8.3,0
RAP1GAP,0
USP48,142
LDLRAD2,1
HSPG2,8
CELA3B,0
CELA3A,0
RP1-224A6.3,2
LINC00339,33
CDC42,844
RP1-224A6.9,0
WNT4,0
ZBTB40,45
EPHA8,0
C1QA,13
C1QC,0
C1QB,6
EPHB2,6
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,37
RP1-184J9.2,0
LUZP1,108
HTR1D,1
RP5-1057J7.6,25
HNRNPR,422
ZNF436,6
C1orf213,9
RP5-1057J7.7,0
TCEA3,21
ASAP3,0
E2F2,6
RP1-150O5.3,0
ID3,36
MDS2,19
RPL11,19215
TCEB3,97
RP5-886K2.3,27
PITHD1,71
LYPLA2,83
GALE,16
HMGCL,143
FUCA1,25
CNR2,13
RP11-4M23.3,0
PNRC2,45
SRSF10,239
RP11-293P20.2,0
MYOM3,4
RP11-293P20.4,0
IL22RA1,0
IFNLR1,4
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,22
NIPAL3,111
RCAN3,93
RP4-594I10.3,68
NCMAP,34
SRRM1,808
CLIC4,35
RUNX3,353
RP11-84D1.1,0
RP11-84D1.2,1
RP4-799D16.1,1
RP4-706G24.1,0
SYF2,419
C1orf63,1274
RP3-465N24.6,0
RHD,1
TMEM50A,329
RHCE,4
TMEM57,77
LDLRAP1,122
RP11-70P17.1,1
MAN1C1,14
RP1-187B23.1,43
SEPN1,22
RP1-317E23.6,0
RP1-317E23.3,0
MTFR1L,52
AL020996.1,4
RP1-317E23.7,0
AUNIP,6
RP1-125I3.2,2
PAQR7,3
STMN1,857
PAFAH2,30
EXTL1,0
SLC30A2,17
TRIM63,0
PDIK1L,24
FAM110D,1
ZNF593,155
RP11-96L14.7,2
CNKSR1,1
CATSPER4,0
CEP85,10
SH3BGRL3,2132
UBXN11,83
CD52,2843
AIM1L,2
ZNF683,41
LIN28A,6
DHDDS,37
RP3-476K8.3,0
HMGN2,1351
RPS6KA1,108
RP5-968P14.2,0
ARID1A,203
PIGV,19
ZDHHC18,40
SFN,1
RP1-50O24.6,0
GPN2,56
GPATCH3,22
NUDC,254
NR0B2,0
C1orf172,0
TRNP1,0
FAM46B,0
SLC9A1,8
RP11-40H20.4,1
WDTC1,44
TMEM222,38
SYTL1,89
MAP3K6,13
FCN3,0
CD164L2,0
GPR3,0
WASF2,493
RP4-752I6.1,0
RP1-159A19.4,3
AHDC1,37
FGR,171
RP11-288L9.1,0
IFI6,275
RP11-288L9.4,0
FAM76A,59
STX12,104
PPP1R8,74
AL109927.1,0
THEMIS2,164
RPA2,152
SMPDL3B,2
RP11-460I13.2,0
XKR8,26
EYA3,62
PTAFR,33
DNAJC8,376
AL353354.1,0
AL353354.2,1
ATPIF1,1008
RP5-1092A3.4,10
RP5-1092A3.5,0
SESN2,63
MED18,12
PHACTR4,180
RCC1,62
TRNAU1AP,86
SNHG12,161
TAF12,103
RAB42,0
RP11-442N24__B.1,2
RNU11,0
GMEB1,58
YTHDF2,173
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,1
EPB41,246
TMEM200B,0
RP11-242O24.3,0
SRSF4,184
RP11-242O24.5,1
MECR,30
RP11-467D18.2,0
PTPRU,0
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,3
MATN1-AS1,12
LAPTM5,1299
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,0
SDC3,1
PUM1,110
NKAIN1,0
SNRNP40,152
ZCCHC17,134
RP11-266K22.2,1
FABP3,0
SERINC2,2
AC114494.1,0
RP11-439L8.3,2
RP11-439L8.4,2
RP11-73M7.1,0
TINAGL1,0
HCRTR1,0
PEF1,59
RP11-73M7.6,0
RP11-73M7.9,2
COL16A1,2
BAI2,1
RP11-84A19.3,0
SPOCD1,5
RP11-84A19.2,7
RP11-84A19.4,7
PTP4A2,409
AL136115.1,1
RP4-534N18.2,2
KHDRBS1,249
RP11-277A4.4,1
TMEM39B,39
KPNA6,146
TXLNA,45
CCDC28B,60
RP4-622L5.7,0
IQCC,16
DCDC2B,1
TMEM234,24
EIF3I,385
FAM167B,3
LCK,338
HDAC1,149
MARCKSL1,58
RP4-811H24.9,0
TSSK3,1
FAM229A,3
BSDC1,187
RP1-27O5.3,0
ZBTB8B,9
ZBTB8A,29
ZBTB8OS,135
RBBP4,280
SYNC,77
RP11-114B7.6,1
KIAA1522,4
YARS,59
S100PBP,58
FNDC5,0
HPCA,0
TMEM54,1
RNF19B,24
FKSG48,0
RP1-117O3.2,0
AK2,173
ADC,4
TRIM62,6
ZNF362,18
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,50
RP11-415J8.5,0
ZSCAN20,2
CSMD2,2
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,125
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,0
RP5-997D16.2,0
DLGAP3,4
RP11-244H3.4,1
ZMYM6NB,0
ZMYM6,32
ZMYM1,29
SFPQ,538
ZMYM4,58
ZMYM4-AS1,0
KIAA0319L,79
NCDN,6
RP4-728D4.2,37
TFAP2E,0
PSMB2,247
C1orf216,22
CLSPN,80
RP11-435D7.3,0
AGO4,54
AGO1,44
RP4-789D17.5,0
AGO3,193
RP4-665N4.8,0
TEKT2,0
ADPRHL2,68
COL8A2,1
TRAPPC3,140
MAP7D1,58
THRAP3,369
SH3D21,9
EVA1B,11
RP11-268J15.5,3
STK40,47
LSM10,141
OSCP1,0
MRPS15,181
CSF3R,154
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,15
ZC3H12A,185
MEAF6,297
SNIP1,34
DNALI1,0
GNL2,85
RSPO1,2
C1orf109,53
CDCA8,24
EPHA10,2
MANEAL,1
RP11-109P14.9,0
YRDC,14
C1orf122,51
MTF1,54
AL929472.1,0
RP11-109P14.10,21
INPP5B,66
SF3A3,114
FHL3,13
UTP11L,68
POU3F1,1
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,0
RRAGC,55
RP5-864K19.4,9
MYCBP,56
GJA9,0
RHBDL2,15
AKIRIN1,114
NDUFS5,886
MACF1,329
RP11-420K8.1,1
KIAA0754,8
BMP8A,0
RP11-69E11.4,24
PABPC4,138
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,1
PPIE,102
BMP8B,9
OXCT2,2
RP1-118J21.25,0
TRIT1,28
MYCL,4
RP1-118J21.5,0
MFSD2A,7
CAP1,518
PPT1,183
RLF,106
TMCO2,0
RP1-39G22.7,18
ZMPSTE24,36
COL9A2,10
SMAP2,650
ZFP69B,8
ZFP69,6
RP11-656D10.3,2
EXO5,15
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,14
RIMS3,5
RP4-739H11.3,1
NFYC-AS1,10
NFYC,74
KCNQ4,0
CITED4,1
RP5-1066H13.4,0
CTPS1,40
SLFNL1,1
SCMH1,35
RP11-399E6.1,0
FOXO6,0
RP11-399E6.4,0
EDN2,0
HIVEP3,19
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,67
RIMKLA,1
ZMYND12,4
PPCS,156
CCDC30,25
PPIH,90
RP5-994D16.3,0
YBX1,871
CLDN19,7
LEPRE1,86
C1orf50,43
RP5-994D16.9,0
CCDC23,93
ERMAP,27
RP11-342M1.3,6
ZNF691,5
SLC2A1,40
SLC2A1-AS1,3
FAM183A,0
EBNA1BP2,146
WDR65,0
TMEM125,3
C1orf210,0
TIE1,10
MPL,0
RP1-92O14.3,5
CDC20,28
ELOVL1,59
MED8,61
RP1-92O14.6,0
SZT2,53
SZT2-AS1,0
HYI,9
HYI-AS1,1
PTPRF,3
KDM4A,36
KDM4A-AS1,12
ST3GAL3,13
RP11-184I16.4,1
ARTN,0
RP11-7O11.3,6
IPO13,15
DPH2,51
ATP6V0B,356
B4GALT2,9
CCDC24,3
SLC6A9,3
RP5-1198O20.4,0
KLF17,1
DMAP1,55
ERI3,41
RNF220,90
TMEM53,12
C1orf228,61
KIF2C,12
RP11-269F19.2,2
RPS8,18911
BEST4,1
PLK3,120
TCTEX1D4,0
BTBD19,22
PTCH2,15
EIF2B3,56
HECTD3,13
UROD,143
ZSWIM5,1
HPDL,10
MUTYH,35
TOE1,20
TESK2,20
CCDC163P,1
MMACHC,5
PRDX1,469
AKR1A1,188
NASP,307
CCDC17,1
GPBP1L1,147
TMEM69,64
IPP,19
MAST2,4
PIK3R3,43
RP4-533D7.4,1
RP4-533D7.5,0
TSPAN1,0
RP11-322N21.2,0
POMGNT1,32
LURAP1,1
RAD54L,7
LRRC41,86
UQCRH,1431
NSUN4,65
FAAH,2
RP5-1109J22.2,1
LINC00505,2
DMBX1,3
MKNK1-AS1,0
KNCN,0
MKNK1,76
MOB3C,21
ATPAF1,14
EFCAB14,153
TEX38,0
EFCAB14-AS1,0
CYP4B1,0
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,11
CYP4A22,0
LINC00853,2
PDZK1IP1,8
TAL1,36
RP1-18D14.7,1
STIL,16
CMPK1,136
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,2
FOXD2,2
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,0
RP5-1024N4.4,0
SPATA6,10
AGBL4,0
BEND5,10
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,0
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,3
FAF1,17
RP5-850O15.3,0
CDKN2C,22
C1orf185,0
RP11-296A18.3,4
RNF11,69
RP11-296A18.6,0
TTC39A,16
RP11-275F13.1,4
EPS15,178
RP11-253A20.1,0
RP11-191G24.1,0
OSBPL9,105
NRD1,259
RP4-657D16.3,4
RP4-657D16.6,1
RAB3B,29
TXNDC12,128
KTI12,39
RP11-91A18.4,1
TXNDC12-AS1,0
BTF3L4,173
ZFYVE9,2
CC2D1B,25
RP11-155O18.6,0
ORC1,22
PRPF38A,218
ZCCHC11,272
RP11-25O10.2,0
GPX7,25
FAM159A,28
COA7,20
ZYG11B,49
ZYG11A,2
RP4-631H13.2,0
ECHDC2,116
SCP2,287
PODN,1
RP11-334A14.5,0
SLC1A7,5
RP11-334A14.8,0
CPT2,23
RP5-1024G6.2,0
C1orf123,95
RP5-1024G6.7,0
MAGOH,249
RP5-1024G6.5,1
RP5-1024G6.8,4
LRP8,14
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,3
RP11-117D22.1,0
RP11-117D22.2,12
DMRTB1,0
GLIS1,0
NDC1,38
YIPF1,28
DIO1,0
HSPB11,177
LRRC42,12
LDLRAD1,0
RP4-758J24.5,6
TMEM59,636
TCEANC2,27
AL161915.1,2
CDCP2,0
RP11-446E24.4,0
AL357673.1,29
CYB5RL,17
MRPL37,124
SSBP3,67
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,20
FAM151A,0
MROH7-TTC4,0
MROH7,1
TTC4,15
PARS2,5
TTC22,2
RP11-67L3.2,0
C1orf177,3
DHCR24,6
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,1
PCSK9,0
USP24,70
RP11-101C11.1,1
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,0
RP4-710M16.2,0
PPAP2B,4
PRKAA2,0
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,1
RP6-102O10.1,0
DAB1-AS1,1
RP11-393I23.4,0
OMA1,82
TACSTD2,2
MYSM1,76
JUN,145
LINC01135,0
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,0
RP4-794H19.4,0
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,0
RP11-467C18.1,0
FGGY,17
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,27
CYP2J2,0
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,2
NFIA,149
RP4-668G5.1,0
RP5-833A20.1,0
TM2D1,181
RP11-430G17.3,0
INADL,54
L1TD1,6
KANK4,0
USP1,192
DOCK7,20
ANGPTL3,0
AL138847.1,0
RP11-230B22.1,0
ATG4C,41
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,0
FOXD3,0
ALG6,22
ITGB3BP,93
EFCAB7,9
DLEU2L,10
PGM1,40
ROR1,1
RP11-24J23.2,7
UBE2U,0
CACHD1,0
RAVER2,9
JAK1,252
RP11-182I10.3,2
RP4-535B20.4,2
RP4-535B20.1,0
AK4,11
DNAJC6,11
RP5-1044H5.1,0
LEPR,16
LEPROT,205
PDE4B,652
RP11-397C12.1,0
SGIP1,6
AL139147.1,0
TCTEX1D1,11
INSL5,0
WDR78,4
RP11-342H21.2,0
MIER1,267
SLC35D1,48
C1orf141,2
IL23R,6
IL12RB2,13
SERBP1,960
RP4-763G1.2,0
GADD45A,181
GNG12,0
GNG12-AS1,0
DIRAS3,0
WLS,0
RPE65,0
DEPDC1,31
RP4-694A7.2,0
RP4-694A7.4,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,16
RP11-181B18.1,0
LRRC40,47
SRSF11,606
RP4-677H15.4,0
ANKRD13C,58
HHLA3,11
RP11-180O5.2,0
CTH,15
RP11-42O15.3,0
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,1
RP3-333A15.1,0
ZRANB2-AS1,0
ZRANB2,313
RP11-386O9.2,0
NEGR1,22
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,4
RP4-788P17.1,0
LRRIQ3,2
FPGT,13
FPGT-TNNI3K,1
TNNI3K,0
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,1
RP4-612J11.1,0
RP11-17E13.2,0
CRYZ,24
TYW3,110
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,7
RP4-682C21.5,0
ACADM,102
RABGGTB,167
MSH4,0
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,2
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,1
RP4-564M11.2,0
PIGK,41
AK5,21
RP11-375A5.1,0
ZZZ3,74
USP33,119
FAM73A,63
NEXN-AS1,4
NEXN,7
FUBP1,220
DNAJB4,36
GIPC2,2
RP11-386I14.4,10
PTGFR,0
IFI44L,133
IFI44,84
ELTD1,0
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,28
LPHN2,0
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,12
RP5-836J3.1,0
TTLL7,114
RP11-486G15.2,4
PRKACB,181
SAMD13,7
DNASE2B,0
RPF1,90
GNG5,553
CTBS,73
C1orf180,0
SSX2IP,105
LPAR3,11
MCOLN2,31
WDR63,4
MCOLN3,5
SYDE2,13
C1orf52,147
BCL10,58
RP11-131L23.1,11
DDAH1,0
RP11-131L23.2,0
RP11-290M5.4,0
CYR61,0
RP11-290M5.2,0
ZNHIT6,46
COL24A1,11
ODF2L,356
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,6
SH3GLB1,247
15-Sep,490
HS2ST1,29
RP4-604K5.3,0
RP4-604K5.2,2
RP5-1052I5.2,0
LINC01140,0
LMO4,131
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,0
PKN2,187
GTF2B,180
CCBL2,52
RBMXL1,85
GBP3,41
GBP1,57
GBP2,138
GBP7,1
GBP4,69
GBP5,86
RP4-620F22.2,0
GBP6,1
LRRC8B,33
RP5-1007M22.2,10
LRRC8C,78
RP11-302M6.4,0
RP5-943J3.2,1
LRRC8D,30
RP11-302M6.5,0
ZNF326,127
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,0
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,207
HFM1,0
CDC7,22
TGFBR3,61
BRDT,12
EPHX4,7
BTBD8,6
KIAA1107,5
RP4-621B10.8,0
C1orf146,0
GLMN,99
RPAP2,171
GFI1,8
EVI5,49
RPL5,9789
FAM69A,17
MTF2,249
TMED5,171
CCDC18,86
DR1,175
FNBP1L,17
BCAR3,0
RP5-1033H22.2,0
RP4-561L24.3,0
DNTTIP2,272
GCLM,60
ABCA4,0
RP11-78O9.1,0
ARHGAP29,8
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,29
F3,6
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,1
SLC44A3,0
CNN3,13
RP4-639F20.1,1
ALG14,34
RP11-313A24.1,0
TMEM56,53
TMEM56-RWDD3,0
RP11-57H12.3,1
RWDD3,5
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,29
DPYD,90
DPYD-AS1,0
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,0
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,0
FRRS1,3
AGL,65
RP5-884G6.2,1
SLC35A3,71
HIAT1,107
RP4-714D9.2,0
SASS6,27
TRMT13,73
LRRC39,1
DBT,46
RP11-305E17.6,0
RTCA,61
RP5-837M10.2,0
CDC14A,97
RP5-837M10.4,0
GPR88,0
RP11-84O12.4,0
VCAM1,3
EXTL2,22
RP4-549L20.3,5
SLC30A7,120
DPH5,104
AC093157.1,17
RP11-421L21.2,2
RP11-421L21.3,13
RP4-575N6.4,22
S1PR1,97
RP11-157N3.1,0
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,0
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,57
AMY2B,19
AMY2A,0
AMY1A,3
AMY1B,0
AMY1C,0
RP11-364B6.1,3
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,0
RP11-233E12.1,0
PRMT6,34
NTNG1,2
VAV3,87
VAV3-AS1,2
RP11-356N1.2,1
SLC25A24,59
RP11-483I13.5,1
NBPF4,0
RP11-483I13.2,0
NBPF6,0
RP11-131J3.1,0
FAM102B,17
HENMT1,72
PRPF38B,598
FNDC7,0
