,BMM3_Benign
HES3,0
GPR153,4
ACOT7,93
RP1-202O8.3,7
HES2,44
ESPN,2
RP1-202O8.2,0
TNFRSF25,367
PLEKHG5,3
NOL9,122
TAS1R1,0
ZBTB48,77
KLHL21,21
PHF13,27
THAP3,167
DNAJC11,68
RP11-242F24.1,22
RP11-312B8.1,1
CAMTA1,716
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,0
RP11-338N10.3,0
VAMP3,244
PER3,27
RP3-467L1.4,8
UTS2,49
TNFRSF9,118
PARK7,2431
ERRFI1,20
RP11-431K24.1,2
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,3
RERE,183
RP5-1115A15.1,11
RP4-633I8.4,1
ENO1,2413
ENO1-AS1,13
CA6,17
SLC2A7,1
SLC2A5,15
GPR157,27
RP3-510D11.1,1
RP3-510D11.2,0
H6PD,94
SPSB1,4
RP13-392I16.1,0
SLC25A33,19
TMEM201,14
PIK3CD,173
C1orf200,23
RP11-558F24.4,9
CLSTN1,128
CTNNBIP1,28
RP11-84A14.5,0
LZIC,314
NMNAT1,156
RBP7,87
UBE4B,174
KIF1B,75
PGD,189
RP4-736L20.3,1
APITD1,62
APITD1-CORT,3
CORT,1
DFFA,323
RP5-1113E3.3,2
PEX14,97
CASZ1,37
RP4-734G22.3,0
C1orf127,0
TARDBP,700
MASP2,4
RP4-635E18.8,90
SRM,51
EXOSC10,208
RP4-635E18.7,10
RP4-635E18.6,6
MTOR,96
MTOR-AS1,1
ANGPTL7,0
UBIAD1,152
PTCHD2,0
RP1-69M21.2,1
FBXO2,22
FBXO44,237
FBXO6,123
MAD2L2,805
DRAXIN,143
AGTRAP,474
C1orf167,7
RP11-56N19.5,0
MTHFR,97
CLCN6,80
NPPA-AS1,5
NPPA,0
NPPB,0
KIAA2013,149
PLOD1,26
MFN2,43
MIIP,273
TNFRSF8,6
TNFRSF1B,331
VPS13D,167
RP5-888M10.2,0
DHRS3,129
RP11-474O21.5,1
AADACL4,0
AADACL3,0
C1orf158,3
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,23
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,2
PDPN,1
CTA-520D8.2,0
PRDM2,446
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,4
TMEM51,0
C1orf195,0
FHAD1,6
RP3-467K16.2,1
RP3-467K16.7,0
RP3-467K16.4,6
EFHD2,252
CTRC,5
CELA2A,2
CELA2B,0
CASP9,44
DNAJC16,114
RP4-680D5.8,3
AGMAT,76
RP4-680D5.2,0
DDI2,139
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,72
RP11-288I21.1,0
SLC25A34,1
RP11-169K16.4,0
TMEM82,0
FBLIM1,75
RP11-169K16.9,244
SPEN,216
ZBTB17,106
C1orf64,6
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,2
RP11-276H7.2,0
RP11-276H7.3,1
ARHGEF19-AS1,0
ARHGEF19,66
C1orf134,7
RSG1,14
FBXO42,198
SZRD1,374
SPATA21,3
NECAP2,631
RP4-798A10.2,32
RP4-798A10.7,17
RP4-798A10.4,0
U1,0
FAM231B,0
NBPF1,106
RP5-1182A14.5,0
CROCCP2,151
FAM231A,0
FAM231C,0
CROCC,45
RP11-108M9.1,0
RP11-108M9.2,0
U1,0
RP11-108M9.4,106
RP11-108M9.6,47
MFAP2,0
RP1-37C10.3,0
ATP13A2,54
SDHB,621
PADI2,14
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,111
AC004824.2,1
RP1-20B21.4,2
RCC2,170
ARHGEF10L,3
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,1
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,20
IFFO2,15
UBR4,192
RP1-43E13.2,23
EMC1,55
MRTO4,216
AKR7A3,0
AKR7A2,47
PQLC2,40
CAPZB,2475
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,1469
NBL1,8
HTR6,0
TMCO4,87
RNF186,0
RP11-91K11.2,0
OTUD3,33
PLA2G2E,0
PLA2G2A,0
PLA2G5,0
PLA2G2D,8
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,2
UBXN10-AS1,12
UBXN10,5
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,2
LINC01141,1
RP4-749H3.2,0
CAMK2N1,10
MUL1,100
FAM43B,0
CDA,62
PINK1,22
PINK1-AS,6
DDOST,711
KIF17,7
SH2D5,0
RP5-930J4.2,0
HP1BP3,1506
RP5-930J4.4,11
EIF4G3,156
ECE1,88
RP3-329E20.2,0
RP5-1071N3.1,3
RP11-293F5.1,0
NBPF3,86
ALPL,4
RP11-63N8.3,0
RAP1GAP,1
USP48,442
LDLRAD2,4
HSPG2,14
CELA3B,0
CELA3A,0
RP1-224A6.3,7
LINC00339,51
CDC42,3226
RP1-224A6.9,0
WNT4,0
ZBTB40,89
EPHA8,0
C1QA,26
C1QC,7
C1QB,11
EPHB2,7
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,93
RP1-184J9.2,0
LUZP1,265
HTR1D,0
RP5-1057J7.6,56
HNRNPR,1790
ZNF436,8
C1orf213,20
RP5-1057J7.7,4
TCEA3,93
ASAP3,2
E2F2,159
RP1-150O5.3,1
ID3,675
MDS2,115
RPL11,62971
TCEB3,353
RP5-886K2.3,43
PITHD1,315
LYPLA2,380
GALE,78
HMGCL,458
FUCA1,121
CNR2,124
RP11-4M23.3,1
PNRC2,51
SRSF10,691
RP11-293P20.2,0
MYOM3,7
RP11-293P20.4,0
IL22RA1,0
IFNLR1,17
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,54
NIPAL3,306
RCAN3,249
RP4-594I10.3,292
NCMAP,121
SRRM1,2755
CLIC4,61
RUNX3,437
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,3
RP4-706G24.1,0
SYF2,1699
C1orf63,3261
RP3-465N24.6,6
RHD,7
TMEM50A,1383
RHCE,4
TMEM57,219
LDLRAP1,520
RP11-70P17.1,9
MAN1C1,29
RP1-187B23.1,57
SEPN1,34
RP1-317E23.6,0
RP1-317E23.3,2
MTFR1L,225
AL020996.1,9
RP1-317E23.7,0
AUNIP,14
RP1-125I3.2,1
PAQR7,9
STMN1,8248
PAFAH2,106
EXTL1,0
SLC30A2,14
TRIM63,0
PDIK1L,47
FAM110D,0
ZNF593,296
RP11-96L14.7,0
CNKSR1,9
CATSPER4,0
CEP85,51
SH3BGRL3,10050
UBXN11,248
CD52,11699
AIM1L,10
ZNF683,34
LIN28A,7
DHDDS,113
RP3-476K8.3,1
HMGN2,7856
RPS6KA1,380
RP5-968P14.2,1
ARID1A,536
PIGV,65
ZDHHC18,81
SFN,0
RP1-50O24.6,0
GPN2,194
GPATCH3,71
NUDC,1090
NR0B2,0
C1orf172,11
TRNP1,0
FAM46B,0
SLC9A1,37
RP11-40H20.4,2
WDTC1,111
TMEM222,207
SYTL1,458
MAP3K6,71
FCN3,1
CD164L2,0
GPR3,0
WASF2,1761
RP4-752I6.1,0
RP1-159A19.4,21
AHDC1,235
FGR,367
RP11-288L9.1,2
IFI6,421
RP11-288L9.4,0
FAM76A,215
STX12,281
PPP1R8,286
AL109927.1,0
THEMIS2,300
RPA2,857
SMPDL3B,3
RP11-460I13.2,1
XKR8,102
EYA3,141
PTAFR,52
DNAJC8,1409
AL353354.1,0
AL353354.2,13
ATPIF1,2227
RP5-1092A3.4,61
RP5-1092A3.5,2
SESN2,42
MED18,67
PHACTR4,278
RCC1,160
TRNAU1AP,353
SNHG12,375
TAF12,594
RAB42,4
RP11-442N24__B.1,2
RNU11,2
GMEB1,259
YTHDF2,643
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,8
EPB41,669
TMEM200B,0
RP11-242O24.3,0
SRSF4,649
RP11-242O24.5,1
MECR,85
RP11-467D18.2,0
PTPRU,0
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,1
MATN1-AS1,74
LAPTM5,8651
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,0
SDC3,1
PUM1,270
NKAIN1,0
SNRNP40,639
ZCCHC17,378
RP11-266K22.2,0
FABP3,1
SERINC2,39
AC114494.1,0
RP11-439L8.3,19
RP11-439L8.4,19
RP11-73M7.1,0
TINAGL1,6
HCRTR1,0
PEF1,387
RP11-73M7.6,2
RP11-73M7.9,2
COL16A1,1
BAI2,0
RP11-84A19.3,0
SPOCD1,5
RP11-84A19.2,5
RP11-84A19.4,5
PTP4A2,1030
AL136115.1,1
RP4-534N18.2,0
KHDRBS1,574
RP11-277A4.4,6
TMEM39B,160
KPNA6,282
TXLNA,127
CCDC28B,204
RP4-622L5.7,9
IQCC,36
DCDC2B,1
TMEM234,93
EIF3I,1385
FAM167B,2
LCK,1977
HDAC1,871
MARCKSL1,246
RP4-811H24.9,0
TSSK3,4
FAM229A,14
BSDC1,556
RP1-27O5.3,0
ZBTB8B,55
ZBTB8A,60
ZBTB8OS,604
RBBP4,1057
SYNC,192
RP11-114B7.6,1
KIAA1522,2
YARS,251
S100PBP,226
FNDC5,6
HPCA,0
TMEM54,0
RNF19B,17
FKSG48,0
RP1-117O3.2,0
AK2,446
ADC,23
TRIM62,21
ZNF362,46
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,71
RP11-415J8.5,1
ZSCAN20,8
CSMD2,22
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,369
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,1
RP5-997D16.2,0
DLGAP3,12
RP11-244H3.4,2
ZMYM6NB,1
ZMYM6,109
ZMYM1,84
SFPQ,743
ZMYM4,179
ZMYM4-AS1,0
KIAA0319L,192
NCDN,4
RP4-728D4.2,156
TFAP2E,6
PSMB2,985
C1orf216,62
CLSPN,274
RP11-435D7.3,0
AGO4,84
AGO1,104
RP4-789D17.5,1
AGO3,453
RP4-665N4.8,0
TEKT2,0
ADPRHL2,182
COL8A2,2
TRAPPC3,552
MAP7D1,67
THRAP3,1546
SH3D21,11
EVA1B,3
RP11-268J15.5,5
STK40,73
LSM10,847
OSCP1,9
MRPS15,651
CSF3R,107
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,63
ZC3H12A,97
MEAF6,1290
SNIP1,77
DNALI1,1
GNL2,216
RSPO1,3
C1orf109,153
CDCA8,145
EPHA10,2
MANEAL,2
RP11-109P14.9,0
YRDC,15
C1orf122,200
MTF1,97
AL929472.1,0
RP11-109P14.10,56
INPP5B,138
SF3A3,483
FHL3,73
UTP11L,207
POU3F1,1
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,2
RRAGC,152
RP5-864K19.4,18
MYCBP,183
GJA9,0
RHBDL2,14
AKIRIN1,208
NDUFS5,2431
MACF1,817
RP11-420K8.1,5
KIAA0754,14
BMP8A,0
RP11-69E11.4,53
PABPC4,144
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,15
PPIE,419
BMP8B,19
OXCT2,0
RP1-118J21.25,1
TRIT1,79
MYCL,13
RP1-118J21.5,0
MFSD2A,6
CAP1,2204
PPT1,356
RLF,199
TMCO2,0
RP1-39G22.7,92
ZMPSTE24,135
COL9A2,21
SMAP2,744
ZFP69B,22
ZFP69,12
RP11-656D10.3,1
EXO5,50
RP11-656D10.5,1
RP11-656D10.6,0
ZNF684,37
RIMS3,101
RP4-739H11.3,0
NFYC-AS1,42
NFYC,293
KCNQ4,1
CITED4,3
RP5-1066H13.4,0
CTPS1,177
SLFNL1,5
SCMH1,244
RP11-399E6.1,2
FOXO6,5
RP11-399E6.4,0
EDN2,0
HIVEP3,88
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,134
RIMKLA,3
ZMYND12,1
PPCS,725
CCDC30,93
PPIH,414
RP5-994D16.3,0
YBX1,1152
CLDN19,3
LEPRE1,241
C1orf50,199
RP5-994D16.9,0
CCDC23,487
ERMAP,14
RP11-342M1.3,22
ZNF691,66
SLC2A1,62
SLC2A1-AS1,15
FAM183A,0
EBNA1BP2,305
WDR65,1
TMEM125,0
C1orf210,0
TIE1,19
MPL,2
RP1-92O14.3,32
CDC20,184
ELOVL1,266
MED8,223
RP1-92O14.6,0
SZT2,149
SZT2-AS1,0
HYI,41
HYI-AS1,1
PTPRF,13
KDM4A,68
KDM4A-AS1,35
ST3GAL3,22
RP11-184I16.4,2
ARTN,0
RP11-7O11.3,2
IPO13,31
DPH2,122
ATP6V0B,1396
B4GALT2,5
CCDC24,21
SLC6A9,0
RP5-1198O20.4,1
KLF17,2
DMAP1,343
ERI3,185
RNF220,160
TMEM53,27
C1orf228,190
KIF2C,55
RP11-269F19.2,4
RPS8,64553
BEST4,12
PLK3,89
TCTEX1D4,4
BTBD19,17
PTCH2,16
EIF2B3,192
HECTD3,38
UROD,305
ZSWIM5,1
HPDL,11
MUTYH,151
TOE1,106
TESK2,44
CCDC163P,12
MMACHC,9
PRDX1,2777
AKR1A1,819
NASP,1278
CCDC17,4
GPBP1L1,344
TMEM69,190
IPP,90
MAST2,16
PIK3R3,89
RP4-533D7.4,0
RP4-533D7.5,0
TSPAN1,0
RP11-322N21.2,0
POMGNT1,112
LURAP1,2
RAD54L,41
LRRC41,171
UQCRH,3956
NSUN4,66
FAAH,13
RP5-1109J22.2,0
LINC00505,4
DMBX1,2
MKNK1-AS1,0
KNCN,0
MKNK1,242
MOB3C,45
ATPAF1,48
EFCAB14,542
TEX38,0
EFCAB14-AS1,1
CYP4B1,0
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,5
CYP4A22,0
LINC00853,0
PDZK1IP1,6
TAL1,11
RP1-18D14.7,0
STIL,40
CMPK1,271
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,9
FOXD2,3
RP11-543D5.1,0
TRABD2B,1
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,0
RP5-1024N4.4,0
SPATA6,75
AGBL4,2
BEND5,117
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,0
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,2
FAF1,67
RP5-850O15.3,0
CDKN2C,91
C1orf185,0
RP11-296A18.3,4
RNF11,53
RP11-296A18.6,1
TTC39A,23
RP11-275F13.1,3
EPS15,441
RP11-253A20.1,4
RP11-191G24.1,3
OSBPL9,269
NRD1,812
RP4-657D16.3,3
RP4-657D16.6,0
RAB3B,65
TXNDC12,744
KTI12,187
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,686
ZFYVE9,13
CC2D1B,77
RP11-155O18.6,0
ORC1,16
PRPF38A,755
ZCCHC11,1018
RP11-25O10.2,2
GPX7,197
FAM159A,98
COA7,34
ZYG11B,127
ZYG11A,1
RP4-631H13.2,0
ECHDC2,318
SCP2,1066
PODN,7
RP11-334A14.5,0
SLC1A7,17
RP11-334A14.8,0
CPT2,87
RP5-1024G6.2,1
C1orf123,399
RP5-1024G6.7,11
MAGOH,1031
RP5-1024G6.5,1
RP5-1024G6.8,7
LRP8,49
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,9
RP11-117D22.1,0
RP11-117D22.2,54
DMRTB1,0
GLIS1,0
NDC1,67
YIPF1,120
DIO1,0
HSPB11,864
LRRC42,94
LDLRAD1,1
RP4-758J24.5,13
TMEM59,2075
TCEANC2,91
AL161915.1,6
CDCP2,0
RP11-446E24.4,0
AL357673.1,34
CYB5RL,34
MRPL37,356
SSBP3,156
SSBP3-AS1,2
RP5-997D24.3,1
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,20
FAM151A,0
MROH7-TTC4,0
MROH7,1
TTC4,23
PARS2,23
TTC22,9
RP11-67L3.2,0
C1orf177,3
DHCR24,7
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,2
PCSK9,38
USP24,140
RP11-101C11.1,3
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,0
RP4-710M16.2,0
PPAP2B,3
PRKAA2,0
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,7
RP6-102O10.1,0
DAB1-AS1,1
RP11-393I23.4,0
OMA1,249
TACSTD2,0
MYSM1,256
JUN,668
LINC01135,2
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,4
RP4-794H19.4,7
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,0
RP11-467C18.1,0
FGGY,66
RP4-782L23.2,0
RP4-782L23.1,6
HOOK1,45
CYP2J2,4
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,1
NFIA,81
RP4-668G5.1,6
RP5-833A20.1,0
TM2D1,616
RP11-430G17.3,4
INADL,152
L1TD1,6
KANK4,0
USP1,890
DOCK7,46
ANGPTL3,0
AL138847.1,4
RP11-230B22.1,0
ATG4C,175
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,2
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,36
FOXD3,0
ALG6,184
ITGB3BP,413
EFCAB7,72
DLEU2L,83
PGM1,186
ROR1,42
RP11-24J23.2,19
UBE2U,0
CACHD1,3
RAVER2,13
JAK1,765
RP11-182I10.3,5
RP4-535B20.4,1
RP4-535B20.1,0
AK4,13
DNAJC6,0
RP5-1044H5.1,0
LEPR,42
LEPROT,546
PDE4B,244
RP11-397C12.1,0
SGIP1,1
AL139147.1,2
TCTEX1D1,8
INSL5,0
WDR78,12
RP11-342H21.2,0
MIER1,643
SLC35D1,135
C1orf141,1
IL23R,38
IL12RB2,12
SERBP1,2499
RP4-763G1.2,0
GADD45A,206
GNG12,0
GNG12-AS1,0
DIRAS3,1
WLS,5
RPE65,0
DEPDC1,75
RP4-694A7.2,0
RP4-694A7.4,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,32
RP11-181B18.1,0
LRRC40,93
SRSF11,2173
RP4-677H15.4,0
ANKRD13C,145
HHLA3,84
RP11-180O5.2,0
CTH,24
RP11-42O15.3,4
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,3
RP3-333A15.1,1
ZRANB2-AS1,1
ZRANB2,1575
RP11-386O9.2,0
NEGR1,28
RP11-82L20.1,0
RP4-660H19.1,1
RP11-262K1.1,0
RP4-598G3.1,3
RP4-788P17.1,0
LRRIQ3,46
FPGT,45
FPGT-TNNI3K,2
TNNI3K,0
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,0
RP4-612J11.1,0
RP11-17E13.2,1
CRYZ,154
TYW3,302
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,6
RP4-682C21.5,0
ACADM,640
RABGGTB,380
MSH4,0
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,10
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,150
AK5,75
RP11-375A5.1,0
ZZZ3,189
USP33,455
FAM73A,187
NEXN-AS1,13
NEXN,27
FUBP1,810
DNAJB4,60
GIPC2,3
RP11-386I14.4,24
PTGFR,0
IFI44L,132
IFI44,145
ELTD1,0
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,189
LPHN2,1
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,22
RP5-836J3.1,0
TTLL7,249
RP11-486G15.2,65
PRKACB,475
SAMD13,18
DNASE2B,0
RPF1,389
GNG5,1848
CTBS,253
C1orf180,0
SSX2IP,81
LPAR3,20
MCOLN2,59
WDR63,4
MCOLN3,11
SYDE2,17
C1orf52,425
BCL10,245
RP11-131L23.1,25
DDAH1,0
RP11-131L23.2,0
RP11-290M5.4,1
CYR61,0
RP11-290M5.2,0
ZNHIT6,249
COL24A1,11
ODF2L,1145
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,19
SH3GLB1,576
15-Sep,2336
HS2ST1,80
RP4-604K5.3,2
RP4-604K5.2,8
RP5-1052I5.2,0
LINC01140,0
LMO4,212
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,1
PKN2,524
GTF2B,356
CCBL2,223
RBMXL1,172
GBP3,242
GBP1,229
GBP2,370
GBP7,47
GBP4,237
GBP5,280
RP4-620F22.2,0
GBP6,3
LRRC8B,40
RP5-1007M22.2,58
LRRC8C,95
RP11-302M6.4,0
RP5-943J3.2,4
LRRC8D,84
RP11-302M6.5,0
ZNF326,531
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,4
RP4-665J23.2,0
RP4-665J23.4,1
ZNF644,630
HFM1,0
CDC7,49
TGFBR3,108
BRDT,9
EPHX4,9
BTBD8,19
KIAA1107,19
RP4-621B10.8,0
C1orf146,0
GLMN,336
RPAP2,507
GFI1,32
EVI5,123
RPL5,31214
FAM69A,51
MTF2,1088
TMED5,376
CCDC18,293
DR1,592
FNBP1L,72
BCAR3,2
RP5-1033H22.2,0
RP4-561L24.3,1
DNTTIP2,630
GCLM,85
ABCA4,0
RP11-78O9.1,0
ARHGAP29,7
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,93
F3,0
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,0
SLC44A3,5
CNN3,47
RP4-639F20.1,8
ALG14,109
RP11-313A24.1,0
TMEM56,24
TMEM56-RWDD3,0
RP11-57H12.3,0
RWDD3,22
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,110
DPYD,207
DPYD-AS1,1
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,4
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,1
FRRS1,4
AGL,226
RP5-884G6.2,5
SLC35A3,181
HIAT1,316
RP4-714D9.2,0
SASS6,155
TRMT13,537
LRRC39,2
DBT,126
RP11-305E17.6,2
RTCA,302
RP5-837M10.2,0
CDC14A,177
RP5-837M10.4,0
GPR88,0
RP11-84O12.4,0
VCAM1,16
EXTL2,54
RP4-549L20.3,3
SLC30A7,197
DPH5,388
AC093157.1,29
RP11-421L21.2,9
RP11-421L21.3,157
RP4-575N6.4,29
S1PR1,146
RP11-157N3.1,1
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,1
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,352
AMY2B,36
AMY2A,0
AMY1A,3
AMY1B,3
AMY1C,0
RP11-364B6.1,15
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,1
RP11-233E12.1,0
PRMT6,115
NTNG1,4
VAV3,136
VAV3-AS1,20
RP11-356N1.2,2
SLC25A24,104
RP11-483I13.5,25
NBPF4,0
RP11-483I13.2,0
NBPF6,0
