,BMET6_Tumor
HES3,0
GPR153,8
ACOT7,36
RP1-202O8.3,1
HES2,30
ESPN,2
RP1-202O8.2,0
TNFRSF25,110
PLEKHG5,2
NOL9,43
TAS1R1,0
ZBTB48,57
KLHL21,38
PHF13,5
THAP3,69
DNAJC11,58
RP11-242F24.1,11
RP11-312B8.1,1
CAMTA1,603
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,1
RP11-338N10.3,0
VAMP3,297
PER3,20
RP3-467L1.4,2
UTS2,10
TNFRSF9,30
PARK7,1782
ERRFI1,69
RP11-431K24.1,1
RP11-431K24.3,1
RP11-431K24.4,0
SLC45A1,4
RERE,101
RP5-1115A15.1,4
RP4-633I8.4,1
ENO1,2866
ENO1-AS1,6
CA6,1
SLC2A7,0
SLC2A5,7
GPR157,19
RP3-510D11.1,0
RP3-510D11.2,3
H6PD,59
SPSB1,6
RP13-392I16.1,0
SLC25A33,32
TMEM201,14
PIK3CD,71
C1orf200,3
RP11-558F24.4,10
CLSTN1,61
CTNNBIP1,78
RP11-84A14.5,1
LZIC,217
NMNAT1,106
RBP7,311
UBE4B,98
KIF1B,160
PGD,280
RP4-736L20.3,0
APITD1,18
APITD1-CORT,0
CORT,8
DFFA,168
RP5-1113E3.3,3
PEX14,43
CASZ1,16
RP4-734G22.3,1
C1orf127,3
TARDBP,351
MASP2,1
RP4-635E18.8,10
SRM,73
EXOSC10,101
RP4-635E18.7,1
RP4-635E18.6,7
MTOR,49
MTOR-AS1,0
ANGPTL7,0
UBIAD1,45
PTCHD2,0
RP1-69M21.2,1
FBXO2,1
FBXO44,82
FBXO6,116
MAD2L2,224
DRAXIN,34
AGTRAP,414
C1orf167,3
RP11-56N19.5,2
MTHFR,82
CLCN6,55
NPPA-AS1,5
NPPA,0
NPPB,0
KIAA2013,93
PLOD1,114
MFN2,62
MIIP,148
TNFRSF8,16
TNFRSF1B,339
VPS13D,91
RP5-888M10.2,0
DHRS3,150
RP11-474O21.5,3
AADACL4,0
AADACL3,0
C1orf158,2
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,26
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,0
PDPN,10
CTA-520D8.2,0
PRDM2,186
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,5
TMEM51,65
C1orf195,0
FHAD1,52
RP3-467K16.2,5
RP3-467K16.7,6
RP3-467K16.4,5
EFHD2,363
CTRC,3
CELA2A,1
CELA2B,0
CASP9,25
DNAJC16,34
RP4-680D5.8,0
AGMAT,25
RP4-680D5.2,2
DDI2,93
RSC1A1,0
RP4-680D5.9,1
PLEKHM2,125
RP11-288I21.1,1
SLC25A34,2
RP11-169K16.4,1
TMEM82,1
FBLIM1,71
RP11-169K16.9,76
SPEN,196
ZBTB17,64
C1orf64,1
RP11-5P18.5,0
HSPB7,32
CLCNKA,1
CLCNKB,0
FAM131C,0
EPHA2,11
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,21
C1orf134,0
RSG1,10
FBXO42,81
SZRD1,247
SPATA21,2
NECAP2,306
RP4-798A10.2,8
RP4-798A10.7,9
RP4-798A10.4,1
U1,1
FAM231B,0
NBPF1,111
RP5-1182A14.5,0
CROCCP2,57
FAM231A,0
FAM231C,0
CROCC,5
RP11-108M9.1,0
RP11-108M9.2,0
U1,2
RP11-108M9.4,136
RP11-108M9.6,9
MFAP2,10
RP1-37C10.3,0
ATP13A2,27
SDHB,481
PADI2,46
RP11-380J14.1,0
PADI1,2
PADI3,0
PADI4,25
AC004824.2,0
RP1-20B21.4,0
RCC2,161
ARHGEF10L,43
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,1
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,0
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,5
IFFO2,18
UBR4,177
RP1-43E13.2,12
EMC1,61
MRTO4,141
AKR7A3,2
AKR7A2,37
PQLC2,47
CAPZB,1714
RP5-1056L3.1,1
MINOS1-NBL1,0
MINOS1,1451
NBL1,22
HTR6,0
TMCO4,65
RNF186,0
RP11-91K11.2,0
OTUD3,9
PLA2G2E,0
PLA2G2A,24
PLA2G5,2
PLA2G2D,5
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,4
UBXN10-AS1,19
UBXN10,3
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,0
LINC01141,0
RP4-749H3.2,0
CAMK2N1,33
MUL1,43
FAM43B,0
CDA,134
PINK1,34
PINK1-AS,7
DDOST,457
KIF17,1
SH2D5,1
RP5-930J4.2,1
HP1BP3,636
RP5-930J4.4,14
EIF4G3,179
ECE1,92
RP3-329E20.2,0
RP5-1071N3.1,3
RP11-293F5.1,0
NBPF3,35
ALPL,129
RP11-63N8.3,0
RAP1GAP,0
USP48,132
LDLRAD2,7
HSPG2,168
CELA3B,0
CELA3A,0
RP1-224A6.3,4
LINC00339,59
CDC42,1887
RP1-224A6.9,0
WNT4,1
ZBTB40,49
EPHA8,0
C1QA,1804
C1QC,2280
C1QB,1857
EPHB2,31
RP11-69E9.1,0
RP1-74M1.3,1
LACTBL1,0
C1orf234,0
KDM1A,48
RP1-184J9.2,0
LUZP1,235
HTR1D,0
RP5-1057J7.6,9
HNRNPR,588
ZNF436,9
C1orf213,10
RP5-1057J7.7,0
TCEA3,29
ASAP3,1
E2F2,11
RP1-150O5.3,1
ID3,852
MDS2,11
RPL11,24728
TCEB3,134
RP5-886K2.3,17
PITHD1,69
LYPLA2,208
GALE,67
HMGCL,191
FUCA1,174
CNR2,13
RP11-4M23.3,0
PNRC2,35
SRSF10,256
RP11-293P20.2,0
MYOM3,3
RP11-293P20.4,0
IL22RA1,0
IFNLR1,3
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,25
NIPAL3,66
RCAN3,85
RP4-594I10.3,95
NCMAP,27
SRRM1,1119
CLIC4,82
RUNX3,370
RP11-84D1.1,0
RP11-84D1.2,1
RP4-799D16.1,0
RP4-706G24.1,0
SYF2,693
C1orf63,1775
RP3-465N24.6,1
RHD,9
TMEM50A,1016
RHCE,0
TMEM57,76
LDLRAP1,84
RP11-70P17.1,7
MAN1C1,19
RP1-187B23.1,16
SEPN1,78
RP1-317E23.6,0
RP1-317E23.3,2
MTFR1L,104
AL020996.1,1
RP1-317E23.7,0
AUNIP,3
RP1-125I3.2,12
PAQR7,8
STMN1,380
PAFAH2,34
EXTL1,5
SLC30A2,14
TRIM63,0
PDIK1L,14
FAM110D,0
ZNF593,216
RP11-96L14.7,3
CNKSR1,5
CATSPER4,0
CEP85,21
SH3BGRL3,8664
UBXN11,195
CD52,6056
AIM1L,11
ZNF683,189
LIN28A,8
DHDDS,71
RP3-476K8.3,0
HMGN2,2256
RPS6KA1,178
RP5-968P14.2,0
ARID1A,253
PIGV,33
ZDHHC18,50
SFN,15
RP1-50O24.6,0
GPN2,81
GPATCH3,49
NUDC,601
NR0B2,0
C1orf172,1
TRNP1,6
FAM46B,1
SLC9A1,40
RP11-40H20.4,1
WDTC1,56
TMEM222,117
SYTL1,42
MAP3K6,22
FCN3,4
CD164L2,0
GPR3,0
WASF2,703
RP4-752I6.1,0
RP1-159A19.4,5
AHDC1,36
FGR,265
RP11-288L9.1,0
IFI6,1288
RP11-288L9.4,0
FAM76A,65
STX12,235
PPP1R8,74
AL109927.1,0
THEMIS2,266
RPA2,260
SMPDL3B,3
RP11-460I13.2,0
XKR8,30
EYA3,63
PTAFR,182
DNAJC8,671
AL353354.1,0
AL353354.2,5
ATPIF1,1112
RP5-1092A3.4,6
RP5-1092A3.5,0
SESN2,47
MED18,15
PHACTR4,244
RCC1,134
TRNAU1AP,150
SNHG12,256
TAF12,241
RAB42,19
RP11-442N24__B.1,2
RNU11,15
GMEB1,79
YTHDF2,258
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,1
EPB41,225
TMEM200B,4
RP11-242O24.3,0
SRSF4,230
RP11-242O24.5,0
MECR,50
RP11-467D18.2,0
PTPRU,5
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,4
MATN1-AS1,9
LAPTM5,5365
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,0
SDC3,54
PUM1,200
NKAIN1,0
SNRNP40,243
ZCCHC17,234
RP11-266K22.2,0
FABP3,27
SERINC2,24
AC114494.1,0
RP11-439L8.3,0
RP11-439L8.4,1
RP11-73M7.1,0
TINAGL1,8
HCRTR1,0
PEF1,196
RP11-73M7.6,0
RP11-73M7.9,1
COL16A1,26
BAI2,0
RP11-84A19.3,0
SPOCD1,14
RP11-84A19.2,3
RP11-84A19.4,1
PTP4A2,513
AL136115.1,0
RP4-534N18.2,0
KHDRBS1,328
RP11-277A4.4,2
TMEM39B,80
KPNA6,146
TXLNA,72
CCDC28B,102
RP4-622L5.7,1
IQCC,11
DCDC2B,4
TMEM234,52
EIF3I,724
FAM167B,26
LCK,578
HDAC1,254
MARCKSL1,74
RP4-811H24.9,0
TSSK3,0
FAM229A,4
BSDC1,147
RP1-27O5.3,0
ZBTB8B,18
ZBTB8A,36
ZBTB8OS,344
RBBP4,317
SYNC,81
RP11-114B7.6,3
KIAA1522,8
YARS,169
S100PBP,80
FNDC5,0
HPCA,0
TMEM54,3
RNF19B,80
FKSG48,0
RP1-117O3.2,0
AK2,246
ADC,17
TRIM62,9
ZNF362,24
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,165
RP11-415J8.5,0
ZSCAN20,9
CSMD2,7
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,235
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,39
RP5-997D16.2,0
DLGAP3,4
RP11-244H3.4,3
ZMYM6NB,1
ZMYM6,65
ZMYM1,55
SFPQ,680
ZMYM4,123
ZMYM4-AS1,0
KIAA0319L,107
NCDN,7
RP4-728D4.2,67
TFAP2E,4
PSMB2,498
C1orf216,44
CLSPN,49
RP11-435D7.3,0
AGO4,91
AGO1,63
RP4-789D17.5,0
AGO3,221
RP4-665N4.8,0
TEKT2,0
ADPRHL2,76
COL8A2,12
TRAPPC3,401
MAP7D1,142
THRAP3,480
SH3D21,27
EVA1B,27
RP11-268J15.5,2
STK40,70
LSM10,384
OSCP1,3
MRPS15,484
CSF3R,368
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,11
ZC3H12A,278
MEAF6,478
SNIP1,27
DNALI1,5
GNL2,179
RSPO1,6
C1orf109,43
CDCA8,2
EPHA10,2
MANEAL,2
RP11-109P14.9,0
YRDC,18
C1orf122,137
MTF1,73
AL929472.1,0
RP11-109P14.10,34
INPP5B,48
SF3A3,201
FHL3,89
UTP11L,138
POU3F1,1
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,0
RRAGC,108
RP5-864K19.4,15
MYCBP,70
GJA9,0
RHBDL2,26
AKIRIN1,127
NDUFS5,2287
MACF1,500
RP11-420K8.1,2
KIAA0754,14
BMP8A,1
RP11-69E11.4,55
PABPC4,280
RP11-69E11.8,0
HEYL,5
RP1-144F13.3,0
NT5C1A,0
HPCAL4,2
PPIE,221
BMP8B,30
OXCT2,9
RP1-118J21.25,0
TRIT1,41
MYCL,16
RP1-118J21.5,0
MFSD2A,16
CAP1,1505
PPT1,865
RLF,153
TMCO2,1
RP1-39G22.7,24
ZMPSTE24,126
COL9A2,17
SMAP2,513
ZFP69B,11
ZFP69,9
RP11-656D10.3,11
EXO5,22
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,19
RIMS3,4
RP4-739H11.3,0
NFYC-AS1,10
NFYC,171
KCNQ4,1
CITED4,1
RP5-1066H13.4,0
CTPS1,50
SLFNL1,0
SCMH1,46
RP11-399E6.1,0
FOXO6,0
RP11-399E6.4,0
EDN2,0
HIVEP3,53
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,117
RIMKLA,2
ZMYND12,3
PPCS,347
CCDC30,38
PPIH,174
RP5-994D16.3,2
YBX1,1541
CLDN19,2
LEPRE1,182
C1orf50,108
RP5-994D16.9,0
CCDC23,252
ERMAP,36
RP11-342M1.3,13
ZNF691,16
SLC2A1,30
SLC2A1-AS1,4
FAM183A,0
EBNA1BP2,219
WDR65,1
TMEM125,0
C1orf210,1
TIE1,18
MPL,0
RP1-92O14.3,11
CDC20,13
ELOVL1,198
MED8,118
RP1-92O14.6,1
SZT2,55
SZT2-AS1,0
HYI,13
HYI-AS1,1
PTPRF,10
KDM4A,69
KDM4A-AS1,11
ST3GAL3,8
RP11-184I16.4,1
ARTN,0
RP11-7O11.3,2
IPO13,23
DPH2,37
ATP6V0B,2255
B4GALT2,15
CCDC24,8
SLC6A9,1
RP5-1198O20.4,3
KLF17,0
DMAP1,142
ERI3,106
RNF220,84
TMEM53,47
C1orf228,29
KIF2C,1
RP11-269F19.2,1
RPS8,24638
BEST4,0
PLK3,119
TCTEX1D4,1
BTBD19,33
PTCH2,39
EIF2B3,90
HECTD3,17
UROD,115
ZSWIM5,2
HPDL,2
MUTYH,43
TOE1,30
TESK2,36
CCDC163P,11
MMACHC,2
PRDX1,1780
AKR1A1,660
NASP,348
CCDC17,5
GPBP1L1,167
TMEM69,102
IPP,34
MAST2,21
PIK3R3,188
RP4-533D7.4,2
RP4-533D7.5,1
TSPAN1,6
RP11-322N21.2,0
POMGNT1,46
LURAP1,1
RAD54L,1
LRRC41,93
UQCRH,2767
NSUN4,70
FAAH,5
RP5-1109J22.2,0
LINC00505,1
DMBX1,6
MKNK1-AS1,0
KNCN,0
MKNK1,235
MOB3C,29
ATPAF1,33
EFCAB14,186
TEX38,0
EFCAB14-AS1,0
CYP4B1,1
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,10
CYP4A22,0
LINC00853,0
PDZK1IP1,3
TAL1,4
RP1-18D14.7,0
STIL,13
CMPK1,218
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,2
FOXD2,1
RP11-543D5.1,0
TRABD2B,1
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,0
RP5-1024N4.4,0
SPATA6,29
AGBL4,1
BEND5,12
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,3
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,1
FAF1,52
RP5-850O15.3,0
CDKN2C,70
C1orf185,0
RP11-296A18.3,1
RNF11,67
RP11-296A18.6,0
TTC39A,30
RP11-275F13.1,6
EPS15,235
RP11-253A20.1,1
RP11-191G24.1,0
OSBPL9,109
NRD1,511
RP4-657D16.3,6
RP4-657D16.6,1
RAB3B,107
TXNDC12,377
KTI12,27
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,468
ZFYVE9,4
CC2D1B,34
RP11-155O18.6,1
ORC1,7
PRPF38A,246
ZCCHC11,384
RP11-25O10.2,0
GPX7,79
FAM159A,40
COA7,18
ZYG11B,95
ZYG11A,1
RP4-631H13.2,0
ECHDC2,138
SCP2,713
PODN,1
RP11-334A14.5,0
SLC1A7,20
RP11-334A14.8,0
CPT2,37
RP5-1024G6.2,0
C1orf123,228
RP5-1024G6.7,1
MAGOH,486
RP5-1024G6.5,1
RP5-1024G6.8,0
LRP8,16
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,8
RP11-117D22.1,0
RP11-117D22.2,6
DMRTB1,0
GLIS1,0
NDC1,31
YIPF1,86
DIO1,2
HSPB11,394
LRRC42,39
LDLRAD1,0
RP4-758J24.5,5
TMEM59,1406
TCEANC2,43
AL161915.1,4
CDCP2,0
RP11-446E24.4,0
AL357673.1,24
CYB5RL,16
MRPL37,182
SSBP3,90
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,33
FAM151A,0
MROH7-TTC4,2
MROH7,4
TTC4,25
PARS2,5
TTC22,1
RP11-67L3.2,0
C1orf177,3
DHCR24,12
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,0
PCSK9,0
USP24,100
RP11-101C11.1,2
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,1
RP4-710M16.2,0
PPAP2B,40
PRKAA2,1
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,5
RP6-102O10.1,0
DAB1-AS1,1
RP11-393I23.4,0
OMA1,95
TACSTD2,10
MYSM1,134
JUN,1096
LINC01135,0
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,10
RP4-794H19.4,5
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,1
RP11-467C18.1,0
FGGY,38
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,11
CYP2J2,0
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,0
NFIA,102
RP4-668G5.1,0
RP5-833A20.1,0
TM2D1,235
RP11-430G17.3,2
INADL,51
L1TD1,10
KANK4,0
USP1,250
DOCK7,41
ANGPTL3,0
AL138847.1,1
RP11-230B22.1,0
ATG4C,98
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,2
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,0
FOXD3,0
ALG6,56
ITGB3BP,118
EFCAB7,22
DLEU2L,21
PGM1,89
ROR1,1
RP11-24J23.2,2
UBE2U,0
CACHD1,4
RAVER2,3
JAK1,318
RP11-182I10.3,8
RP4-535B20.4,0
RP4-535B20.1,1
AK4,17
DNAJC6,2
RP5-1044H5.1,0
LEPR,37
LEPROT,501
PDE4B,409
RP11-397C12.1,0
SGIP1,5
AL139147.1,1
TCTEX1D1,6
INSL5,0
WDR78,6
RP11-342H21.2,0
MIER1,330
SLC35D1,44
C1orf141,0
IL23R,16
IL12RB2,9
SERBP1,1315
RP4-763G1.2,2
GADD45A,83
GNG12,18
GNG12-AS1,0
DIRAS3,0
WLS,21
RPE65,0
DEPDC1,4
RP4-694A7.2,0
RP4-694A7.4,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,6
RP11-181B18.1,0
LRRC40,49
SRSF11,911
RP4-677H15.4,0
ANKRD13C,76
HHLA3,28
RP11-180O5.2,0
CTH,19
RP11-42O15.3,0
RP5-952N6.1,1
RP11-99H8.1,0
PTGER3,1
RP3-333A15.1,0
ZRANB2-AS1,1
ZRANB2,398
RP11-386O9.2,0
NEGR1,16
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,3
RP4-788P17.1,0
LRRIQ3,2
FPGT,43
FPGT-TNNI3K,0
TNNI3K,0
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,0
RP4-612J11.1,0
RP11-17E13.2,3
CRYZ,51
TYW3,143
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,1
RP4-682C21.5,1
ACADM,218
RABGGTB,329
MSH4,2
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,11
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,85
AK5,53
RP11-375A5.1,0
ZZZ3,128
USP33,214
FAM73A,81
NEXN-AS1,7
NEXN,23
FUBP1,304
DNAJB4,260
GIPC2,2
RP11-386I14.4,102
PTGFR,2
IFI44L,168
IFI44,244
ELTD1,47
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,20
LPHN2,11
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,9
RP5-836J3.1,0
TTLL7,67
RP11-486G15.2,9
PRKACB,237
SAMD13,0
DNASE2B,4
RPF1,153
GNG5,1724
CTBS,185
C1orf180,0
SSX2IP,31
LPAR3,12
MCOLN2,37
WDR63,0
MCOLN3,10
SYDE2,13
C1orf52,220
BCL10,152
RP11-131L23.1,9
DDAH1,9
RP11-131L23.2,0
RP11-290M5.4,1
CYR61,64
RP11-290M5.2,0
ZNHIT6,81
COL24A1,3
ODF2L,376
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,8
SH3GLB1,485
15-Sep,1058
HS2ST1,52
RP4-604K5.3,2
RP4-604K5.2,1
RP5-1052I5.2,0
LINC01140,0
LMO4,211
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,2
PKN2,388
GTF2B,192
CCBL2,94
RBMXL1,85
GBP3,87
GBP1,236
GBP2,426
GBP7,8
GBP4,87
GBP5,144
RP4-620F22.2,0
GBP6,1
LRRC8B,48
RP5-1007M22.2,27
LRRC8C,93
RP11-302M6.4,0
RP5-943J3.2,2
LRRC8D,39
RP11-302M6.5,0
ZNF326,178
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,8
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,352
HFM1,1
CDC7,16
TGFBR3,75
BRDT,11
EPHX4,3
BTBD8,8
KIAA1107,19
RP4-621B10.8,0
C1orf146,0
GLMN,115
RPAP2,248
GFI1,6
EVI5,162
RPL5,10891
FAM69A,35
MTF2,206
TMED5,381
CCDC18,80
DR1,136
FNBP1L,47
BCAR3,18
RP5-1033H22.2,0
RP4-561L24.3,1
DNTTIP2,333
GCLM,42
ABCA4,0
RP11-78O9.1,0
ARHGAP29,53
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,57
F3,27
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,7
SLC44A3,2
CNN3,112
RP4-639F20.1,1
ALG14,67
RP11-313A24.1,0
TMEM56,5
TMEM56-RWDD3,0
RP11-57H12.3,1
RWDD3,16
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,52
DPYD,268
DPYD-AS1,0
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,27
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,26
FRRS1,24
AGL,98
RP5-884G6.2,1
SLC35A3,86
HIAT1,120
RP4-714D9.2,0
SASS6,39
TRMT13,98
LRRC39,4
DBT,63
RP11-305E17.6,3
RTCA,233
RP5-837M10.2,0
CDC14A,107
RP5-837M10.4,0
GPR88,0
RP11-84O12.4,0
VCAM1,12
EXTL2,49
RP4-549L20.3,21
SLC30A7,147
DPH5,147
AC093157.1,12
RP11-421L21.2,5
RP11-421L21.3,34
RP4-575N6.4,13
S1PR1,78
RP11-157N3.1,0
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,12
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,94
AMY2B,23
AMY2A,0
AMY1A,0
AMY1B,1
AMY1C,0
RP11-364B6.1,9
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,0
RP11-233E12.1,0
PRMT6,16
NTNG1,1
VAV3,136
VAV3-AS1,1
RP11-356N1.2,10
SLC25A24,176
RP11-483I13.5,7
NBPF4,0
RP11-483I13.2,0
NBPF6,0
RP11-131J3.1,0
FAM102B,66
