,BMET10_Tumor
HES3,0
GPR153,36
ACOT7,117
RP1-202O8.3,9
HES2,41
ESPN,8
RP1-202O8.2,0
TNFRSF25,65
PLEKHG5,33
NOL9,69
TAS1R1,2
ZBTB48,74
KLHL21,80
PHF13,70
THAP3,166
DNAJC11,74
RP11-242F24.1,8
RP11-312B8.1,1
CAMTA1,1401
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,1
RP11-338N10.1,0
RP11-338N10.2,0
RP11-338N10.3,1
VAMP3,438
PER3,12
RP3-467L1.4,0
UTS2,0
TNFRSF9,11
PARK7,3622
ERRFI1,752
RP11-431K24.1,12
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,11
RERE,246
RP5-1115A15.1,1
RP4-633I8.4,2
ENO1,3375
ENO1-AS1,10
CA6,0
SLC2A7,0
SLC2A5,8
GPR157,18
RP3-510D11.1,2
RP3-510D11.2,16
H6PD,72
SPSB1,100
RP13-392I16.1,0
SLC25A33,41
TMEM201,21
PIK3CD,7
C1orf200,0
RP11-558F24.4,53
CLSTN1,292
CTNNBIP1,116
RP11-84A14.5,0
LZIC,394
NMNAT1,93
RBP7,2432
UBE4B,121
KIF1B,227
PGD,249
RP4-736L20.3,1
APITD1,55
APITD1-CORT,0
CORT,9
DFFA,283
RP5-1113E3.3,2
PEX14,81
CASZ1,41
RP4-734G22.3,0
C1orf127,1
TARDBP,537
MASP2,3
RP4-635E18.8,15
SRM,207
EXOSC10,138
RP4-635E18.7,0
RP4-635E18.6,37
MTOR,81
MTOR-AS1,0
ANGPTL7,1
UBIAD1,120
PTCHD2,1
RP1-69M21.2,1
FBXO2,3
FBXO44,67
FBXO6,78
MAD2L2,563
DRAXIN,59
AGTRAP,565
C1orf167,25
RP11-56N19.5,2
MTHFR,138
CLCN6,56
NPPA-AS1,2
NPPA,2
NPPB,0
KIAA2013,171
PLOD1,838
MFN2,106
MIIP,214
TNFRSF8,9
TNFRSF1B,375
VPS13D,233
RP5-888M10.2,0
DHRS3,268
RP11-474O21.5,7
AADACL4,0
AADACL3,0
C1orf158,1
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,40
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,0
PDPN,52
CTA-520D8.2,0
PRDM2,210
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,96
TMEM51,43
C1orf195,0
FHAD1,26
RP3-467K16.2,0
RP3-467K16.7,1
RP3-467K16.4,1
EFHD2,94
CTRC,1
CELA2A,5
CELA2B,0
CASP9,65
DNAJC16,110
RP4-680D5.8,0
AGMAT,23
RP4-680D5.2,3
DDI2,164
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,160
RP11-288I21.1,0
SLC25A34,8
RP11-169K16.4,20
TMEM82,0
FBLIM1,651
RP11-169K16.9,134
SPEN,177
ZBTB17,103
C1orf64,5
RP11-5P18.5,0
HSPB7,10
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,111
RP11-276H7.2,1
RP11-276H7.3,1
ARHGEF19-AS1,0
ARHGEF19,50
C1orf134,1
RSG1,10
FBXO42,126
SZRD1,495
SPATA21,2
NECAP2,674
RP4-798A10.2,3
RP4-798A10.7,16
RP4-798A10.4,1
U1,0
FAM231B,0
NBPF1,160
RP5-1182A14.5,2
CROCCP2,125
FAM231A,0
FAM231C,0
CROCC,43
RP11-108M9.1,0
RP11-108M9.2,0
U1,1
RP11-108M9.4,152
RP11-108M9.6,31
MFAP2,186
RP1-37C10.3,0
ATP13A2,97
SDHB,682
PADI2,1
RP11-380J14.1,1
PADI1,0
PADI3,0
PADI4,0
AC004824.2,0
RP1-20B21.4,1
RCC2,306
ARHGEF10L,35
RP11-473A10.2,0
ACTL8,1
RP11-174G17.2,0
IGSF21,1
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,0
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,46
IFFO2,42
UBR4,190
RP1-43E13.2,47
EMC1,115
MRTO4,185
AKR7A3,14
AKR7A2,95
PQLC2,41
CAPZB,1739
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,2783
NBL1,238
HTR6,0
TMCO4,53
RNF186,1
RP11-91K11.2,0
OTUD3,26
PLA2G2E,0
PLA2G2A,418
PLA2G5,109
PLA2G2D,1
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,1
UBXN10-AS1,4
UBXN10,2
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,0
LINC01141,0
RP4-749H3.2,0
CAMK2N1,140
MUL1,129
FAM43B,11
CDA,354
PINK1,217
PINK1-AS,11
DDOST,894
KIF17,60
SH2D5,0
RP5-930J4.2,0
HP1BP3,1470
RP5-930J4.4,28
EIF4G3,318
ECE1,825
RP3-329E20.2,0
RP5-1071N3.1,1
RP11-293F5.1,0
NBPF3,18
ALPL,142
RP11-63N8.3,0
RAP1GAP,5
USP48,262
LDLRAD2,6
HSPG2,3380
CELA3B,0
CELA3A,0
RP1-224A6.3,2
LINC00339,39
CDC42,3340
RP1-224A6.9,2
WNT4,0
ZBTB40,68
EPHA8,0
C1QA,893
C1QC,744
C1QB,885
EPHB2,18
RP11-69E9.1,0
RP1-74M1.3,1
LACTBL1,0
C1orf234,1
KDM1A,94
RP1-184J9.2,0
LUZP1,720
HTR1D,0
RP5-1057J7.6,28
HNRNPR,1030
ZNF436,91
C1orf213,26
RP5-1057J7.7,1
TCEA3,230
ASAP3,28
E2F2,2
RP1-150O5.3,1
ID3,6212
MDS2,5
RPL11,36852
TCEB3,206
RP5-886K2.3,49
PITHD1,239
LYPLA2,313
GALE,93
HMGCL,260
FUCA1,51
CNR2,7
RP11-4M23.3,0
PNRC2,75
SRSF10,395
RP11-293P20.2,1
MYOM3,6
RP11-293P20.4,0
IL22RA1,0
IFNLR1,1
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,52
NIPAL3,79
RCAN3,25
RP4-594I10.3,7
NCMAP,23
SRRM1,1477
CLIC4,1683
RUNX3,5
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,0
RP4-706G24.1,0
SYF2,975
C1orf63,1847
RP3-465N24.6,2
RHD,1
TMEM50A,2343
RHCE,9
TMEM57,225
LDLRAP1,90
RP11-70P17.1,4
MAN1C1,42
RP1-187B23.1,21
SEPN1,446
RP1-317E23.6,0
RP1-317E23.3,3
MTFR1L,190
AL020996.1,2
RP1-317E23.7,0
AUNIP,12
RP1-125I3.2,6
PAQR7,20
STMN1,1523
PAFAH2,48
EXTL1,0
SLC30A2,15
TRIM63,0
PDIK1L,71
FAM110D,11
ZNF593,848
RP11-96L14.7,2
CNKSR1,37
CATSPER4,0
CEP85,20
SH3BGRL3,6436
UBXN11,91
CD52,228
AIM1L,3
ZNF683,1
LIN28A,6
DHDDS,68
RP3-476K8.3,0
HMGN2,2926
RPS6KA1,29
RP5-968P14.2,1
ARID1A,349
PIGV,74
ZDHHC18,55
SFN,1
RP1-50O24.6,0
GPN2,153
GPATCH3,52
NUDC,1244
NR0B2,1
C1orf172,58
TRNP1,17
FAM46B,19
SLC9A1,131
RP11-40H20.4,0
WDTC1,108
TMEM222,176
SYTL1,21
MAP3K6,81
FCN3,349
CD164L2,16
GPR3,18
WASF2,1360
RP4-752I6.1,0
RP1-159A19.4,0
AHDC1,118
FGR,73
RP11-288L9.1,3
IFI6,2753
RP11-288L9.4,0
FAM76A,104
STX12,464
PPP1R8,172
AL109927.1,0
THEMIS2,70
RPA2,261
SMPDL3B,32
RP11-460I13.2,0
XKR8,38
EYA3,115
PTAFR,20
DNAJC8,961
AL353354.1,0
AL353354.2,9
ATPIF1,1807
RP5-1092A3.4,10
RP5-1092A3.5,1
SESN2,78
MED18,10
PHACTR4,209
RCC1,235
TRNAU1AP,190
SNHG12,429
TAF12,439
RAB42,7
RP11-442N24__B.1,10
RNU11,9
GMEB1,78
YTHDF2,660
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,2
EPB41,43
TMEM200B,16
RP11-242O24.3,0
SRSF4,667
RP11-242O24.5,0
MECR,110
RP11-467D18.2,0
PTPRU,16
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,0
MATN1-AS1,11
LAPTM5,639
RP5-1125N11.1,0
RP1-65J11.1,1
RP1-65J11.5,1
SDC3,99
PUM1,368
NKAIN1,1
SNRNP40,424
ZCCHC17,362
RP11-266K22.2,0
FABP3,22
SERINC2,42
AC114494.1,0
RP11-439L8.3,0
RP11-439L8.4,1
RP11-73M7.1,0
TINAGL1,482
HCRTR1,0
PEF1,461
RP11-73M7.6,0
RP11-73M7.9,2
COL16A1,155
BAI2,9
RP11-84A19.3,0
SPOCD1,47
RP11-84A19.2,1
RP11-84A19.4,11
PTP4A2,749
AL136115.1,0
RP4-534N18.2,2
KHDRBS1,422
RP11-277A4.4,7
TMEM39B,182
KPNA6,334
TXLNA,218
CCDC28B,233
RP4-622L5.7,0
IQCC,14
DCDC2B,0
TMEM234,132
EIF3I,1748
FAM167B,1467
LCK,20
HDAC1,459
MARCKSL1,1052
RP4-811H24.9,0
TSSK3,1
FAM229A,21
BSDC1,276
RP1-27O5.3,0
ZBTB8B,14
ZBTB8A,87
ZBTB8OS,308
RBBP4,845
SYNC,88
RP11-114B7.6,3
KIAA1522,61
YARS,306
S100PBP,148
FNDC5,1
HPCA,0
TMEM54,52
RNF19B,54
FKSG48,0
RP1-117O3.2,0
AK2,897
ADC,25
TRIM62,24
ZNF362,71
RP11-415J8.7,3
A3GALT2,0
RP11-415J8.3,0
PHC2,326
RP11-415J8.5,8
ZSCAN20,7
CSMD2,16
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,552
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,1567
RP5-997D16.2,0
DLGAP3,5
RP11-244H3.4,2
ZMYM6NB,0
ZMYM6,54
ZMYM1,96
SFPQ,1110
ZMYM4,166
ZMYM4-AS1,0
KIAA0319L,108
NCDN,25
RP4-728D4.2,4
TFAP2E,2
PSMB2,1035
C1orf216,74
CLSPN,59
RP11-435D7.3,0
AGO4,78
AGO1,89
RP4-789D17.5,0
AGO3,278
RP4-665N4.8,0
TEKT2,2
ADPRHL2,257
COL8A2,21
TRAPPC3,752
MAP7D1,208
THRAP3,476
SH3D21,8
EVA1B,149
RP11-268J15.5,12
STK40,97
LSM10,723
OSCP1,38
MRPS15,1037
CSF3R,5
RP4-614N24.1,0
GRIK3,4
RP5-1180C18.1,0
LINC01137,26
ZC3H12A,215
MEAF6,820
SNIP1,49
DNALI1,24
GNL2,227
RSPO1,8
C1orf109,126
CDCA8,28
EPHA10,3
MANEAL,6
RP11-109P14.9,0
YRDC,41
C1orf122,809
MTF1,56
AL929472.1,0
RP11-109P14.10,14
INPP5B,57
SF3A3,255
FHL3,138
UTP11L,294
POU3F1,6
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,0
RRAGC,195
RP5-864K19.4,10
MYCBP,160
GJA9,0
RHBDL2,55
AKIRIN1,199
NDUFS5,5205
MACF1,684
RP11-420K8.1,0
KIAA0754,30
BMP8A,0
RP11-69E11.4,17
PABPC4,299
RP11-69E11.8,0
HEYL,264
RP1-144F13.3,0
NT5C1A,0
HPCAL4,0
PPIE,298
BMP8B,3
OXCT2,5
RP1-118J21.25,0
TRIT1,82
MYCL,8
RP1-118J21.5,0
MFSD2A,6
CAP1,1115
PPT1,369
RLF,288
TMCO2,1
RP1-39G22.7,51
ZMPSTE24,531
COL9A2,10
SMAP2,195
ZFP69B,18
ZFP69,6
RP11-656D10.3,17
EXO5,25
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,28
RIMS3,1
RP4-739H11.3,0
NFYC-AS1,15
NFYC,251
KCNQ4,3
CITED4,12
RP5-1066H13.4,0
CTPS1,89
SLFNL1,2
SCMH1,123
RP11-399E6.1,2
FOXO6,5
RP11-399E6.4,0
EDN2,5
HIVEP3,45
RP11-486B10.3,0
GUCA2B,0
GUCA2A,2
FOXJ3,203
RIMKLA,9
ZMYND12,4
PPCS,338
CCDC30,65
PPIH,244
RP5-994D16.3,0
YBX1,1847
CLDN19,3
LEPRE1,206
C1orf50,224
RP5-994D16.9,0
CCDC23,370
ERMAP,17
RP11-342M1.3,6
ZNF691,47
SLC2A1,111
SLC2A1-AS1,5
FAM183A,5
EBNA1BP2,392
WDR65,3
TMEM125,29
C1orf210,60
TIE1,515
MPL,0
RP1-92O14.3,35
CDC20,61
ELOVL1,559
MED8,294
RP1-92O14.6,0
SZT2,53
SZT2-AS1,0
HYI,154
HYI-AS1,1
PTPRF,155
KDM4A,67
KDM4A-AS1,31
ST3GAL3,41
RP11-184I16.4,0
ARTN,8
RP11-7O11.3,7
IPO13,66
DPH2,94
ATP6V0B,1969
B4GALT2,64
CCDC24,40
SLC6A9,49
RP5-1198O20.4,6
KLF17,5
DMAP1,145
ERI3,224
RNF220,110
TMEM53,70
C1orf228,3
KIF2C,10
RP11-269F19.2,1
RPS8,49914
BEST4,1
PLK3,145
TCTEX1D4,0
BTBD19,25
PTCH2,10
EIF2B3,199
HECTD3,46
UROD,253
ZSWIM5,1
HPDL,6
MUTYH,53
TOE1,44
TESK2,78
CCDC163P,15
MMACHC,8
PRDX1,4408
AKR1A1,702
NASP,625
CCDC17,8
GPBP1L1,345
TMEM69,230
IPP,43
MAST2,36
PIK3R3,845
RP4-533D7.4,2
RP4-533D7.5,2
TSPAN1,488
RP11-322N21.2,0
POMGNT1,171
LURAP1,31
RAD54L,8
LRRC41,286
UQCRH,6497
NSUN4,63
FAAH,16
RP5-1109J22.2,0
LINC00505,0
DMBX1,3
MKNK1-AS1,0
KNCN,0
MKNK1,167
MOB3C,65
ATPAF1,52
EFCAB14,826
TEX38,0
EFCAB14-AS1,0
CYP4B1,1
CYP4A11,1
CYP4X1,45
CYP4Z1,1
CYP4A22-AS1,2
CYP4A22,0
LINC00853,16
PDZK1IP1,59
TAL1,67
RP1-18D14.7,5
STIL,20
CMPK1,486
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,6
FOXD2,4
RP11-543D5.1,0
TRABD2B,12
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,3
RP5-1024N4.4,1
SPATA6,106
AGBL4,6
BEND5,17
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,2
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,1
RP5-850O15.4,1
FAF1,63
RP5-850O15.3,0
CDKN2C,117
C1orf185,0
RP11-296A18.3,4
RNF11,405
RP11-296A18.6,2
TTC39A,60
RP11-275F13.1,3
EPS15,335
RP11-253A20.1,0
RP11-191G24.1,0
OSBPL9,177
NRD1,728
RP4-657D16.3,7
RP4-657D16.6,1
RAB3B,21
TXNDC12,598
KTI12,67
RP11-91A18.4,1
TXNDC12-AS1,0
BTF3L4,868
ZFYVE9,49
CC2D1B,38
RP11-155O18.6,0
ORC1,1
PRPF38A,469
ZCCHC11,375
RP11-25O10.2,0
GPX7,208
FAM159A,4
COA7,64
ZYG11B,236
ZYG11A,8
RP4-631H13.2,0
ECHDC2,230
SCP2,1335
PODN,114
RP11-334A14.5,1
SLC1A7,7
RP11-334A14.8,2
CPT2,39
RP5-1024G6.2,1
C1orf123,488
RP5-1024G6.7,3
MAGOH,748
RP5-1024G6.5,9
RP5-1024G6.8,1
LRP8,15
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,1
RP11-117D22.1,0
RP11-117D22.2,2
DMRTB1,0
GLIS1,1
NDC1,67
YIPF1,196
DIO1,2
HSPB11,389
LRRC42,117
LDLRAD1,0
RP4-758J24.5,16
TMEM59,2864
TCEANC2,40
AL161915.1,7
CDCP2,0
RP11-446E24.4,0
AL357673.1,18
CYB5RL,23
MRPL37,536
SSBP3,176
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,12
FAM151A,0
MROH7-TTC4,0
MROH7,4
TTC4,18
PARS2,17
TTC22,0
RP11-67L3.2,0
C1orf177,0
DHCR24,35
RP11-67L3.5,0
RP11-67L3.4,3
TMEM61,3
RP11-12C17.2,0
BSND,0
PCSK9,0
USP24,85
RP11-101C11.1,0
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,21
RP4-710M16.2,4
PPAP2B,553
PRKAA2,7
C1orf168,8
RP11-378I13.1,0
C8A,9
C8B,1
RP5-1103B4.3,0
DAB1,1
RP6-102O10.1,0
DAB1-AS1,0
RP11-393I23.4,0
OMA1,142
TACSTD2,138
MYSM1,187
JUN,3899
LINC01135,0
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,1
RP4-794H19.4,3
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,0
RP11-467C18.1,0
FGGY,34
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,34
CYP2J2,29
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,6
RP11-436K8.1,0
NFIA,629
RP4-668G5.1,12
RP5-833A20.1,0
TM2D1,455
RP11-430G17.3,1
INADL,38
L1TD1,7
KANK4,0
USP1,280
DOCK7,77
ANGPTL3,7
AL138847.1,2
RP11-230B22.1,2
ATG4C,146
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,1
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,36
FOXD3,3
ALG6,146
ITGB3BP,218
EFCAB7,34
DLEU2L,38
PGM1,162
ROR1,22
RP11-24J23.2,9
UBE2U,0
CACHD1,56
RAVER2,37
JAK1,764
RP11-182I10.3,2
RP4-535B20.4,3
RP4-535B20.1,0
AK4,297
DNAJC6,5
RP5-1044H5.1,0
LEPR,337
LEPROT,825
PDE4B,335
RP11-397C12.1,0
SGIP1,143
AL139147.1,2
TCTEX1D1,51
INSL5,0
WDR78,10
RP11-342H21.2,0
MIER1,443
SLC35D1,45
C1orf141,0
IL23R,2
IL12RB2,0
SERBP1,2845
RP4-763G1.2,0
GADD45A,957
GNG12,380
GNG12-AS1,7
DIRAS3,17
WLS,170
RPE65,0
DEPDC1,40
RP4-694A7.2,0
RP4-694A7.4,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,4
RP11-181B18.1,0
LRRC40,110
SRSF11,1670
RP4-677H15.4,0
ANKRD13C,132
HHLA3,104
RP11-180O5.2,0
CTH,38
RP11-42O15.3,2
RP5-952N6.1,0
RP11-99H8.1,1
PTGER3,16
RP3-333A15.1,0
ZRANB2-AS1,0
ZRANB2,678
RP11-386O9.2,0
NEGR1,36
RP11-82L20.1,0
RP4-660H19.1,1
RP11-262K1.1,0
RP4-598G3.1,1
RP4-788P17.1,0
LRRIQ3,7
FPGT,75
FPGT-TNNI3K,1
TNNI3K,2
RP11-439H8.4,1
RP4-650F12.2,0
LRRC53,1
C1orf173,1
RP4-612J11.1,0
RP11-17E13.2,3
CRYZ,77
TYW3,215
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,21
RP4-682C21.5,1
ACADM,256
RABGGTB,531
MSH4,0
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,142
RP5-1102E8.3,3
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,251
AK5,64
RP11-375A5.1,0
ZZZ3,167
USP33,207
FAM73A,121
NEXN-AS1,9
NEXN,189
FUBP1,524
DNAJB4,1515
GIPC2,41
RP11-386I14.4,16
PTGFR,86
IFI44L,285
IFI44,237
ELTD1,1575
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,1
RP5-887A10.1,0
LPHN2,490
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,11
RP5-836J3.1,0
TTLL7,156
RP11-486G15.2,18
PRKACB,123
SAMD13,6
DNASE2B,1
RPF1,212
GNG5,2950
CTBS,179
C1orf180,0
SSX2IP,21
LPAR3,10
MCOLN2,3
WDR63,0
MCOLN3,1
SYDE2,11
C1orf52,382
BCL10,281
RP11-131L23.1,32
DDAH1,201
RP11-131L23.2,4
RP11-290M5.4,2
CYR61,1145
RP11-290M5.2,0
ZNHIT6,138
COL24A1,11
ODF2L,869
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,4
SH3GLB1,1285
15-Sep,1442
HS2ST1,188
RP4-604K5.3,1
RP4-604K5.2,0
RP5-1052I5.2,0
LINC01140,0
LMO4,329
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,3
PKN2,530
GTF2B,138
CCBL2,74
RBMXL1,127
GBP3,113
GBP1,189
GBP2,274
GBP7,9
GBP4,200
GBP5,11
RP4-620F22.2,0
GBP6,0
LRRC8B,60
RP5-1007M22.2,33
LRRC8C,95
RP11-302M6.4,0
RP5-943J3.2,0
LRRC8D,19
RP11-302M6.5,0
ZNF326,347
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,64
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,343
HFM1,1
CDC7,32
TGFBR3,275
BRDT,48
EPHX4,73
BTBD8,18
KIAA1107,16
RP4-621B10.8,0
C1orf146,0
GLMN,132
RPAP2,171
GFI1,0
EVI5,238
RPL5,16153
FAM69A,27
MTF2,267
TMED5,387
CCDC18,53
DR1,438
FNBP1L,831
BCAR3,54
RP5-1033H22.2,17
RP4-561L24.3,3
DNTTIP2,292
GCLM,107
ABCA4,2
RP11-78O9.1,0
ARHGAP29,1961
RP11-148B18.1,0
RP11-148B18.4,1
RP11-148B18.3,0
ABCD3,115
F3,88
RP11-86H7.6,0
RP11-86H7.7,1
LINC01057,5
SLC44A3,20
CNN3,3206
RP4-639F20.1,29
ALG14,99
RP11-313A24.1,0
TMEM56,17
TMEM56-RWDD3,0
RP11-57H12.3,4
RWDD3,10
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,194
DPYD,63
DPYD-AS1,0
DPYD-AS2,1
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,143
LPPR5,0
RP5-896L10.1,0
LPPR4,34
RP11-413P11.1,0
PALMD,463
FRRS1,10
AGL,45
RP5-884G6.2,1
SLC35A3,126
HIAT1,289
RP4-714D9.2,0
SASS6,48
TRMT13,143
LRRC39,4
DBT,84
RP11-305E17.6,4
RTCA,237
RP5-837M10.2,0
CDC14A,50
RP5-837M10.4,0
GPR88,1
RP11-84O12.4,0
VCAM1,322
EXTL2,188
RP4-549L20.3,111
SLC30A7,351
DPH5,207
AC093157.1,11
RP11-421L21.2,1
RP11-421L21.3,165
RP4-575N6.4,51
S1PR1,1140
RP11-157N3.1,1
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,449
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,82
AMY2B,16
AMY2A,0
AMY1A,2
AMY1B,3
AMY1C,0
RP11-364B6.1,5
RP11-251P6.1,1
RP11-24P14.1,0
RP5-947P14.1,1
RP11-233E12.1,0
PRMT6,35
NTNG1,0
VAV3,144
VAV3-AS1,1
RP11-356N1.2,0
SLC25A24,173
RP11-483I13.5,0
NBPF4,0
RP11-483I13.2,0
NBPF6,0
