,BMET11_Involved
HES3,0
GPR153,2
ACOT7,113
RP1-202O8.3,13
HES2,16
ESPN,3
RP1-202O8.2,0
TNFRSF25,135
PLEKHG5,4
NOL9,159
TAS1R1,1
ZBTB48,58
KLHL21,42
PHF13,48
THAP3,167
DNAJC11,95
RP11-242F24.1,7
RP11-312B8.1,9
CAMTA1,1065
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,0
RP11-338N10.3,0
VAMP3,331
PER3,41
RP3-467L1.4,5
UTS2,8
TNFRSF9,7
PARK7,2575
ERRFI1,13
RP11-431K24.1,6
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,0
RERE,231
RP5-1115A15.1,3
RP4-633I8.4,2
ENO1,3735
ENO1-AS1,16
CA6,5
SLC2A7,2
SLC2A5,49
GPR157,22
RP3-510D11.1,0
RP3-510D11.2,7
H6PD,148
SPSB1,4
RP13-392I16.1,0
SLC25A33,27
TMEM201,37
PIK3CD,143
C1orf200,10
RP11-558F24.4,53
CLSTN1,130
CTNNBIP1,57
RP11-84A14.5,1
LZIC,335
NMNAT1,126
RBP7,536
UBE4B,202
KIF1B,118
PGD,573
RP4-736L20.3,3
APITD1,143
APITD1-CORT,2
CORT,0
DFFA,346
RP5-1113E3.3,1
PEX14,74
CASZ1,16
RP4-734G22.3,1
C1orf127,0
TARDBP,804
MASP2,1
RP4-635E18.8,123
SRM,177
EXOSC10,249
RP4-635E18.7,6
RP4-635E18.6,11
MTOR,104
MTOR-AS1,0
ANGPTL7,0
UBIAD1,130
PTCHD2,0
RP1-69M21.2,0
FBXO2,3
FBXO44,120
FBXO6,78
MAD2L2,624
DRAXIN,55
AGTRAP,453
C1orf167,7
RP11-56N19.5,4
MTHFR,215
CLCN6,65
NPPA-AS1,3
NPPA,0
NPPB,0
KIAA2013,146
PLOD1,53
MFN2,93
MIIP,261
TNFRSF8,6
TNFRSF1B,336
VPS13D,170
RP5-888M10.2,1
DHRS3,129
RP11-474O21.5,3
AADACL4,0
AADACL3,0
C1orf158,2
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,6
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,4
RP4-597A16.2,2
PDPN,1
CTA-520D8.2,0
PRDM2,380
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,2
TMEM51,0
C1orf195,0
FHAD1,1
RP3-467K16.2,1
RP3-467K16.7,0
RP3-467K16.4,4
EFHD2,215
CTRC,3
CELA2A,2
CELA2B,0
CASP9,42
DNAJC16,152
RP4-680D5.8,0
AGMAT,65
RP4-680D5.2,5
DDI2,272
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,93
RP11-288I21.1,0
SLC25A34,6
RP11-169K16.4,0
TMEM82,0
FBLIM1,43
RP11-169K16.9,294
SPEN,356
ZBTB17,99
C1orf64,3
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,1
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,41
C1orf134,8
RSG1,23
FBXO42,156
SZRD1,319
SPATA21,2
NECAP2,483
RP4-798A10.2,38
RP4-798A10.7,51
RP4-798A10.4,1
U1,1
FAM231B,0
NBPF1,224
RP5-1182A14.5,0
CROCCP2,280
FAM231A,0
FAM231C,0
CROCC,28
RP11-108M9.1,0
RP11-108M9.2,0
U1,0
RP11-108M9.4,87
RP11-108M9.6,26
MFAP2,7
RP1-37C10.3,0
ATP13A2,39
SDHB,509
PADI2,25
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,188
AC004824.2,0
RP1-20B21.4,0
RCC2,343
ARHGEF10L,7
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,0
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,29
IFFO2,22
UBR4,341
RP1-43E13.2,28
EMC1,87
MRTO4,332
AKR7A3,2
AKR7A2,252
PQLC2,68
CAPZB,1639
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,1803
NBL1,24
HTR6,0
TMCO4,67
RNF186,0
RP11-91K11.2,0
OTUD3,57
PLA2G2E,0
PLA2G2A,0
PLA2G5,1
PLA2G2D,9
PLA2G2F,0
RP3-340N1.2,0
PLA2G2C,0
UBXN10-AS1,18
UBXN10,17
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,1
LINC01141,0
RP4-749H3.2,0
CAMK2N1,6
MUL1,72
FAM43B,0
CDA,241
PINK1,41
PINK1-AS,6
DDOST,775
KIF17,29
SH2D5,0
RP5-930J4.2,0
HP1BP3,2037
RP5-930J4.4,11
EIF4G3,315
ECE1,91
RP3-329E20.2,0
RP5-1071N3.1,2
RP11-293F5.1,0
NBPF3,37
ALPL,4
RP11-63N8.3,0
RAP1GAP,2
USP48,549
LDLRAD2,15
HSPG2,38
CELA3B,0
CELA3A,0
RP1-224A6.3,10
LINC00339,79
CDC42,3652
RP1-224A6.9,0
WNT4,2
ZBTB40,89
EPHA8,0
C1QA,167
C1QC,53
C1QB,130
EPHB2,5
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,142
RP1-184J9.2,1
LUZP1,303
HTR1D,1
RP5-1057J7.6,199
HNRNPR,1927
ZNF436,24
C1orf213,101
RP5-1057J7.7,3
TCEA3,34
ASAP3,2
E2F2,129
RP1-150O5.3,0
ID3,337
MDS2,59
RPL11,85336
TCEB3,236
RP5-886K2.3,131
PITHD1,472
LYPLA2,272
GALE,70
HMGCL,274
FUCA1,86
CNR2,37
RP11-4M23.3,0
PNRC2,62
SRSF10,656
RP11-293P20.2,0
MYOM3,0
RP11-293P20.4,0
IL22RA1,0
IFNLR1,14
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,1
STPG1,57
NIPAL3,337
RCAN3,151
RP4-594I10.3,93
NCMAP,38
SRRM1,2738
CLIC4,164
RUNX3,189
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,0
RP4-706G24.1,0
SYF2,1434
C1orf63,3078
RP3-465N24.6,15
RHD,26
TMEM50A,1240
RHCE,16
TMEM57,240
LDLRAP1,296
RP11-70P17.1,14
MAN1C1,11
RP1-187B23.1,43
SEPN1,76
RP1-317E23.6,0
RP1-317E23.3,2
MTFR1L,236
AL020996.1,10
RP1-317E23.7,0
AUNIP,54
RP1-125I3.2,12
PAQR7,87
STMN1,7468
PAFAH2,59
EXTL1,0
SLC30A2,6
TRIM63,0
PDIK1L,177
FAM110D,1
ZNF593,578
RP11-96L14.7,1
CNKSR1,29
CATSPER4,1
CEP85,81
SH3BGRL3,6435
UBXN11,252
CD52,8095
AIM1L,3
ZNF683,17
LIN28A,9
DHDDS,127
RP3-476K8.3,2
HMGN2,11500
RPS6KA1,328
RP5-968P14.2,4
ARID1A,649
PIGV,101
ZDHHC18,52
SFN,1
RP1-50O24.6,1
GPN2,196
GPATCH3,79
NUDC,1027
NR0B2,0
C1orf172,4
TRNP1,0
FAM46B,1
SLC9A1,56
RP11-40H20.4,0
WDTC1,156
TMEM222,172
SYTL1,340
MAP3K6,45
FCN3,2
CD164L2,4
GPR3,0
WASF2,2279
RP4-752I6.1,2
RP1-159A19.4,29
AHDC1,136
FGR,510
RP11-288L9.1,0
IFI6,547
RP11-288L9.4,0
FAM76A,235
STX12,342
PPP1R8,258
AL109927.1,0
THEMIS2,303
RPA2,596
SMPDL3B,16
RP11-460I13.2,1
XKR8,77
EYA3,259
PTAFR,107
DNAJC8,1283
AL353354.1,0
AL353354.2,2
ATPIF1,4153
RP5-1092A3.4,103
RP5-1092A3.5,0
SESN2,53
MED18,36
PHACTR4,429
RCC1,293
TRNAU1AP,352
SNHG12,620
TAF12,607
RAB42,2
RP11-442N24__B.1,5
RNU11,3
GMEB1,175
YTHDF2,622
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,0
EPB41,563
TMEM200B,1
RP11-242O24.3,0
SRSF4,708
RP11-242O24.5,2
MECR,128
RP11-467D18.2,0
PTPRU,2
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,1
MATN1-AS1,23
LAPTM5,4170
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,1
SDC3,14
PUM1,365
NKAIN1,0
SNRNP40,590
ZCCHC17,510
RP11-266K22.2,7
FABP3,1
SERINC2,80
AC114494.1,0
RP11-439L8.3,9
RP11-439L8.4,7
RP11-73M7.1,0
TINAGL1,4
HCRTR1,0
PEF1,340
RP11-73M7.6,0
RP11-73M7.9,1
COL16A1,6
BAI2,0
RP11-84A19.3,0
SPOCD1,2
RP11-84A19.2,2
RP11-84A19.4,11
PTP4A2,1157
AL136115.1,0
RP4-534N18.2,3
KHDRBS1,892
RP11-277A4.4,7
TMEM39B,155
KPNA6,372
TXLNA,160
CCDC28B,351
RP4-622L5.7,3
IQCC,29
DCDC2B,2
TMEM234,85
EIF3I,1538
FAM167B,3
LCK,558
HDAC1,442
MARCKSL1,350
RP4-811H24.9,1
TSSK3,9
FAM229A,17
BSDC1,415
RP1-27O5.3,0
ZBTB8B,30
ZBTB8A,97
ZBTB8OS,459
RBBP4,1329
SYNC,250
RP11-114B7.6,2
KIAA1522,9
YARS,216
S100PBP,338
FNDC5,1
HPCA,0
TMEM54,3
RNF19B,19
FKSG48,0
RP1-117O3.2,0
AK2,642
ADC,8
TRIM62,8
ZNF362,64
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,140
RP11-415J8.5,0
ZSCAN20,6
CSMD2,7
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,420
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,23
RP5-997D16.2,0
DLGAP3,13
RP11-244H3.4,4
ZMYM6NB,0
ZMYM6,174
ZMYM1,135
SFPQ,1285
ZMYM4,287
ZMYM4-AS1,1
KIAA0319L,257
NCDN,7
RP4-728D4.2,97
TFAP2E,5
PSMB2,967
C1orf216,121
CLSPN,377
RP11-435D7.3,0
AGO4,168
AGO1,179
RP4-789D17.5,2
AGO3,541
RP4-665N4.8,0
TEKT2,0
ADPRHL2,180
COL8A2,5
TRAPPC3,545
MAP7D1,89
THRAP3,1237
SH3D21,70
EVA1B,46
RP11-268J15.5,26
STK40,66
LSM10,708
OSCP1,9
MRPS15,1042
CSF3R,803
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,59
ZC3H12A,56
MEAF6,1237
SNIP1,82
DNALI1,1
GNL2,252
RSPO1,7
C1orf109,154
CDCA8,277
EPHA10,1
MANEAL,2
RP11-109P14.9,0
YRDC,23
C1orf122,249
MTF1,141
AL929472.1,0
RP11-109P14.10,26
INPP5B,132
SF3A3,430
FHL3,65
UTP11L,286
POU3F1,0
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,2
RRAGC,168
RP5-864K19.4,26
MYCBP,286
GJA9,0
RHBDL2,11
AKIRIN1,249
NDUFS5,3956
MACF1,884
RP11-420K8.1,0
KIAA0754,43
BMP8A,0
RP11-69E11.4,36
PABPC4,459
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,15
PPIE,409
BMP8B,20
OXCT2,3
RP1-118J21.25,2
TRIT1,125
MYCL,23
RP1-118J21.5,1
MFSD2A,8
CAP1,1366
PPT1,497
RLF,201
TMCO2,0
RP1-39G22.7,191
ZMPSTE24,161
COL9A2,40
SMAP2,753
ZFP69B,18
ZFP69,15
RP11-656D10.3,12
EXO5,43
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,60
RIMS3,27
RP4-739H11.3,0
NFYC-AS1,53
NFYC,248
KCNQ4,4
CITED4,4
RP5-1066H13.4,0
CTPS1,111
SLFNL1,0
SCMH1,168
RP11-399E6.1,1
FOXO6,3
RP11-399E6.4,0
EDN2,0
HIVEP3,33
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,209
RIMKLA,7
ZMYND12,4
PPCS,660
CCDC30,82
PPIH,516
RP5-994D16.3,4
YBX1,3841
CLDN19,0
LEPRE1,140
C1orf50,220
RP5-994D16.9,0
CCDC23,469
ERMAP,64
RP11-342M1.3,20
ZNF691,67
SLC2A1,58
SLC2A1-AS1,44
FAM183A,0
EBNA1BP2,596
WDR65,2
TMEM125,10
C1orf210,0
TIE1,19
MPL,2
RP1-92O14.3,48
CDC20,413
ELOVL1,270
MED8,263
RP1-92O14.6,2
SZT2,144
SZT2-AS1,2
HYI,157
HYI-AS1,1
PTPRF,11
KDM4A,99
KDM4A-AS1,38
ST3GAL3,65
RP11-184I16.4,1
ARTN,1
RP11-7O11.3,31
IPO13,32
DPH2,131
ATP6V0B,1315
B4GALT2,45
CCDC24,12
SLC6A9,4
RP5-1198O20.4,2
KLF17,5
DMAP1,210
ERI3,204
RNF220,444
TMEM53,30
C1orf228,403
KIF2C,152
RP11-269F19.2,2
RPS8,109946
BEST4,5
PLK3,63
TCTEX1D4,3
BTBD19,13
PTCH2,16
EIF2B3,192
HECTD3,65
UROD,688
ZSWIM5,5
HPDL,45
MUTYH,191
TOE1,120
TESK2,53
CCDC163P,35
MMACHC,10
PRDX1,2580
AKR1A1,1144
NASP,1825
CCDC17,3
GPBP1L1,638
TMEM69,397
IPP,46
MAST2,30
PIK3R3,58
RP4-533D7.4,1
RP4-533D7.5,1
TSPAN1,1
RP11-322N21.2,0
POMGNT1,85
LURAP1,7
RAD54L,55
LRRC41,193
UQCRH,6672
NSUN4,93
FAAH,26
RP5-1109J22.2,0
LINC00505,3
DMBX1,3
MKNK1-AS1,0
KNCN,0
MKNK1,254
MOB3C,49
ATPAF1,70
EFCAB14,495
TEX38,0
EFCAB14-AS1,1
CYP4B1,0
CYP4A11,0
CYP4X1,2
CYP4Z1,0
CYP4A22-AS1,19
CYP4A22,0
LINC00853,17
PDZK1IP1,121
TAL1,130
RP1-18D14.7,1
STIL,84
CMPK1,476
RP11-511I2.2,1
FOXE3,0
FOXD2-AS1,9
FOXD2,4
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,2
RP5-1024N4.4,0
SPATA6,89
AGBL4,0
BEND5,137
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,1
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,4
FAF1,95
RP5-850O15.3,0
CDKN2C,109
C1orf185,0
RP11-296A18.3,10
RNF11,172
RP11-296A18.6,3
TTC39A,10
RP11-275F13.1,6
EPS15,691
RP11-253A20.1,2
RP11-191G24.1,6
OSBPL9,285
NRD1,1022
RP4-657D16.3,9
RP4-657D16.6,1
RAB3B,17
TXNDC12,513
KTI12,121
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,844
ZFYVE9,16
CC2D1B,54
RP11-155O18.6,0
ORC1,73
PRPF38A,770
ZCCHC11,954
RP11-25O10.2,0
GPX7,224
FAM159A,50
COA7,97
ZYG11B,198
ZYG11A,1
RP4-631H13.2,1
ECHDC2,246
SCP2,1276
PODN,6
RP11-334A14.5,0
SLC1A7,3
RP11-334A14.8,0
CPT2,112
RP5-1024G6.2,1
C1orf123,429
RP5-1024G6.7,2
MAGOH,801
RP5-1024G6.5,6
RP5-1024G6.8,20
LRP8,34
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,4
RP11-117D22.1,0
RP11-117D22.2,67
DMRTB1,0
GLIS1,1
NDC1,126
YIPF1,109
DIO1,0
HSPB11,835
LRRC42,70
LDLRAD1,0
RP4-758J24.5,9
TMEM59,2029
TCEANC2,178
AL161915.1,9
CDCP2,0
RP11-446E24.4,0
AL357673.1,44
CYB5RL,57
MRPL37,608
SSBP3,282
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,130
FAM151A,0
MROH7-TTC4,1
MROH7,4
TTC4,27
PARS2,18
TTC22,9
RP11-67L3.2,0
C1orf177,3
DHCR24,28
RP11-67L3.5,0
RP11-67L3.4,1
TMEM61,0
RP11-12C17.2,0
BSND,1
PCSK9,1
USP24,247
RP11-101C11.1,2
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,1
RP4-710M16.2,0
PPAP2B,15
PRKAA2,4
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,0
RP6-102O10.1,0
DAB1-AS1,0
RP11-393I23.4,0
OMA1,256
TACSTD2,1
MYSM1,299
JUN,1485
LINC01135,0
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,4
RP4-794H19.4,13
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,4
RP11-467C18.1,0
FGGY,73
RP4-782L23.2,0
RP4-782L23.1,1
HOOK1,86
CYP2J2,7
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,2
RP11-436K8.1,1
NFIA,862
RP4-668G5.1,0
RP5-833A20.1,1
TM2D1,764
RP11-430G17.3,9
INADL,125
L1TD1,12
KANK4,1
USP1,1067
DOCK7,69
ANGPTL3,0
AL138847.1,0
RP11-230B22.1,1
ATG4C,253
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,0
FOXD3,0
ALG6,163
ITGB3BP,649
EFCAB7,51
DLEU2L,81
PGM1,150
ROR1,7
RP11-24J23.2,4
UBE2U,0
CACHD1,10
RAVER2,72
JAK1,787
RP11-182I10.3,6
RP4-535B20.4,1
RP4-535B20.1,1
AK4,77
DNAJC6,41
RP5-1044H5.1,0
LEPR,157
LEPROT,1028
PDE4B,104
RP11-397C12.1,0
SGIP1,15
AL139147.1,2
TCTEX1D1,196
INSL5,0
WDR78,26
RP11-342H21.2,0
MIER1,747
SLC35D1,121
C1orf141,12
IL23R,3
IL12RB2,19
SERBP1,3600
RP4-763G1.2,0
GADD45A,275
GNG12,2
GNG12-AS1,0
DIRAS3,6
WLS,7
RPE65,0
DEPDC1,261
RP4-694A7.2,0
RP4-694A7.4,1
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,41
RP11-181B18.1,0
LRRC40,182
SRSF11,2270
RP4-677H15.4,0
ANKRD13C,164
HHLA3,71
RP11-180O5.2,0
CTH,32
RP11-42O15.3,1
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,3
RP3-333A15.1,0
ZRANB2-AS1,0
ZRANB2,1614
RP11-386O9.2,0
NEGR1,75
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,3
RP4-788P17.1,0
LRRIQ3,67
FPGT,119
FPGT-TNNI3K,21
TNNI3K,1
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,2
RP4-612J11.1,0
RP11-17E13.2,8
CRYZ,155
TYW3,544
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,1
RP4-682C21.5,1
ACADM,621
RABGGTB,514
MSH4,0
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,24
RP5-1102E8.3,3
RP11-415A20.1,0
ST6GALNAC5,2
RP4-564M11.2,0
PIGK,145
AK5,31
RP11-375A5.1,0
ZZZ3,288
USP33,437
FAM73A,181
NEXN-AS1,7
NEXN,96
FUBP1,789
DNAJB4,99
GIPC2,37
RP11-386I14.4,33
PTGFR,3
IFI44L,125
IFI44,199
ELTD1,0
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,51
LPHN2,1
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,28
RP5-836J3.1,0
TTLL7,140
RP11-486G15.2,162
PRKACB,777
SAMD13,94
DNASE2B,0
RPF1,244
GNG5,2648
CTBS,295
C1orf180,0
SSX2IP,270
LPAR3,5
MCOLN2,56
WDR63,1
MCOLN3,5
SYDE2,25
C1orf52,414
BCL10,249
RP11-131L23.1,5
DDAH1,7
RP11-131L23.2,0
RP11-290M5.4,0
CYR61,16
RP11-290M5.2,0
ZNHIT6,269
COL24A1,104
ODF2L,782
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,1
RP4-612B15.3,24
SH3GLB1,834
15-Sep,1911
HS2ST1,162
RP4-604K5.3,2
RP4-604K5.2,3
RP5-1052I5.2,0
LINC01140,0
LMO4,322
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,3
PKN2,770
GTF2B,230
CCBL2,265
RBMXL1,244
GBP3,184
GBP1,131
GBP2,283
GBP7,7
GBP4,225
GBP5,127
RP4-620F22.2,0
GBP6,0
LRRC8B,116
RP5-1007M22.2,70
LRRC8C,126
RP11-302M6.4,0
RP5-943J3.2,2
LRRC8D,133
RP11-302M6.5,0
ZNF326,588
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,3
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,766
HFM1,24
CDC7,149
TGFBR3,47
BRDT,4
EPHX4,2
BTBD8,47
KIAA1107,58
RP4-621B10.8,1
C1orf146,0
GLMN,381
RPAP2,427
GFI1,21
EVI5,184
RPL5,53417
FAM69A,37
MTF2,933
TMED5,485
CCDC18,306
DR1,704
FNBP1L,127
BCAR3,7
RP5-1033H22.2,3
RP4-561L24.3,1
DNTTIP2,378
GCLM,168
ABCA4,0
RP11-78O9.1,0
ARHGAP29,26
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,159
F3,8
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,0
SLC44A3,0
CNN3,126
RP4-639F20.1,11
ALG14,77
RP11-313A24.1,0
TMEM56,359
TMEM56-RWDD3,0
RP11-57H12.3,3
RWDD3,40
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,206
DPYD,251
DPYD-AS1,0
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,7
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,0
FRRS1,26
AGL,221
RP5-884G6.2,15
SLC35A3,236
HIAT1,330
RP4-714D9.2,0
SASS6,223
TRMT13,523
LRRC39,1
DBT,173
RP11-305E17.6,8
RTCA,330
RP5-837M10.2,0
CDC14A,133
RP5-837M10.4,0
GPR88,1
RP11-84O12.4,0
VCAM1,109
EXTL2,201
RP4-549L20.3,10
SLC30A7,339
DPH5,504
AC093157.1,32
RP11-421L21.2,4
RP11-421L21.3,163
RP4-575N6.4,18
S1PR1,70
RP11-157N3.1,0
RP11-411H5.1,0
OLFM3,2
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,0
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,391
AMY2B,35
AMY2A,1
AMY1A,0
AMY1B,3
AMY1C,0
RP11-364B6.1,13
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,1
RP11-233E12.1,0
PRMT6,158
NTNG1,3
VAV3,191
VAV3-AS1,7
RP11-356N1.2,7
SLC25A24,187
RP11-483I13.5,9
NBPF4,0
RP11-483I13.2,0
NBPF6,1
