,BMM8_Benign
HES3,0
GPR153,2
ACOT7,104
RP1-202O8.3,8
HES2,12
ESPN,1
RP1-202O8.2,0
TNFRSF25,316
PLEKHG5,5
NOL9,83
TAS1R1,0
ZBTB48,77
KLHL21,40
PHF13,33
THAP3,131
DNAJC11,59
RP11-242F24.1,12
RP11-312B8.1,1
CAMTA1,900
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,1
RP11-338N10.3,0
VAMP3,205
PER3,21
RP3-467L1.4,1
UTS2,17
TNFRSF9,21
PARK7,2677
ERRFI1,0
RP11-431K24.1,4
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,5
RERE,139
RP5-1115A15.1,7
RP4-633I8.4,0
ENO1,3568
ENO1-AS1,16
CA6,2
SLC2A7,0
SLC2A5,33
GPR157,21
RP3-510D11.1,1
RP3-510D11.2,3
H6PD,78
SPSB1,1
RP13-392I16.1,0
SLC25A33,20
TMEM201,27
PIK3CD,176
C1orf200,11
RP11-558F24.4,39
CLSTN1,116
CTNNBIP1,35
RP11-84A14.5,0
LZIC,311
NMNAT1,98
RBP7,85
UBE4B,136
KIF1B,61
PGD,326
RP4-736L20.3,0
APITD1,80
APITD1-CORT,4
CORT,1
DFFA,267
RP5-1113E3.3,0
PEX14,77
CASZ1,15
RP4-734G22.3,0
C1orf127,3
TARDBP,467
MASP2,0
RP4-635E18.8,30
SRM,158
EXOSC10,196
RP4-635E18.7,4
RP4-635E18.6,6
MTOR,79
MTOR-AS1,0
ANGPTL7,0
UBIAD1,93
PTCHD2,0
RP1-69M21.2,0
FBXO2,5
FBXO44,109
FBXO6,95
MAD2L2,413
DRAXIN,35
AGTRAP,389
C1orf167,6
RP11-56N19.5,0
MTHFR,131
CLCN6,55
NPPA-AS1,6
NPPA,0
NPPB,0
KIAA2013,151
PLOD1,34
MFN2,53
MIIP,288
TNFRSF8,7
TNFRSF1B,275
VPS13D,165
RP5-888M10.2,0
DHRS3,101
RP11-474O21.5,2
AADACL4,0
AADACL3,0
C1orf158,2
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,9
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,1
RP4-597A16.2,0
PDPN,0
CTA-520D8.2,0
PRDM2,281
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,3
TMEM51,3
C1orf195,0
FHAD1,1
RP3-467K16.2,1
RP3-467K16.7,0
RP3-467K16.4,5
EFHD2,300
CTRC,0
CELA2A,1
CELA2B,0
CASP9,25
DNAJC16,70
RP4-680D5.8,2
AGMAT,44
RP4-680D5.2,1
DDI2,145
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,50
RP11-288I21.1,0
SLC25A34,2
RP11-169K16.4,0
TMEM82,0
FBLIM1,30
RP11-169K16.9,160
SPEN,219
ZBTB17,93
C1orf64,3
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,6
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,52
C1orf134,6
RSG1,14
FBXO42,127
SZRD1,334
SPATA21,2
NECAP2,538
RP4-798A10.2,17
RP4-798A10.7,18
RP4-798A10.4,1
U1,0
FAM231B,0
NBPF1,164
RP5-1182A14.5,0
CROCCP2,184
FAM231A,0
FAM231C,0
CROCC,24
RP11-108M9.1,0
RP11-108M9.2,0
U1,0
RP11-108M9.4,138
RP11-108M9.6,17
MFAP2,1
RP1-37C10.3,0
ATP13A2,52
SDHB,503
PADI2,17
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,122
AC004824.2,0
RP1-20B21.4,0
RCC2,294
ARHGEF10L,14
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,1
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,16
IFFO2,23
UBR4,214
RP1-43E13.2,32
EMC1,57
MRTO4,238
AKR7A3,0
AKR7A2,115
PQLC2,48
CAPZB,1821
RP5-1056L3.1,0
MINOS1-NBL1,1
MINOS1,1803
NBL1,14
HTR6,0
TMCO4,53
RNF186,0
RP11-91K11.2,0
OTUD3,34
PLA2G2E,0
PLA2G2A,0
PLA2G5,1
PLA2G2D,20
PLA2G2F,0
RP3-340N1.2,1
PLA2G2C,7
UBXN10-AS1,20
UBXN10,4
RP3-340N1.6,0
VWA5B1,0
RP4-745E8.2,4
LINC01141,1
RP4-749H3.2,0
CAMK2N1,8
MUL1,98
FAM43B,0
CDA,98
PINK1,33
PINK1-AS,6
DDOST,700
KIF17,19
SH2D5,0
RP5-930J4.2,0
HP1BP3,1494
RP5-930J4.4,6
EIF4G3,200
ECE1,85
RP3-329E20.2,0
RP5-1071N3.1,0
RP11-293F5.1,0
NBPF3,48
ALPL,1
RP11-63N8.3,0
RAP1GAP,0
USP48,474
LDLRAD2,4
HSPG2,22
CELA3B,0
CELA3A,0
RP1-224A6.3,6
LINC00339,212
CDC42,1843
RP1-224A6.9,1
WNT4,1
ZBTB40,77
EPHA8,0
C1QA,118
C1QC,55
C1QB,105
EPHB2,4
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,103
RP1-184J9.2,0
LUZP1,265
HTR1D,0
RP5-1057J7.6,41
HNRNPR,1375
ZNF436,11
C1orf213,16
RP5-1057J7.7,2
TCEA3,140
ASAP3,0
E2F2,55
RP1-150O5.3,0
ID3,295
MDS2,96
RPL11,72108
TCEB3,170
RP5-886K2.3,67
PITHD1,385
LYPLA2,322
GALE,73
HMGCL,234
FUCA1,95
CNR2,63
RP11-4M23.3,0
PNRC2,10
SRSF10,408
RP11-293P20.2,0
MYOM3,3
RP11-293P20.4,0
IL22RA1,0
IFNLR1,8
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,33
NIPAL3,234
RCAN3,278
RP4-594I10.3,329
NCMAP,30
SRRM1,2520
CLIC4,64
RUNX3,318
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,3
RP4-706G24.1,0
SYF2,1223
C1orf63,2046
RP3-465N24.6,11
RHD,7
TMEM50A,1066
RHCE,19
TMEM57,205
LDLRAP1,498
RP11-70P17.1,28
MAN1C1,31
RP1-187B23.1,48
SEPN1,70
RP1-317E23.6,0
RP1-317E23.3,7
MTFR1L,200
AL020996.1,6
RP1-317E23.7,0
AUNIP,26
RP1-125I3.2,4
PAQR7,10
STMN1,5399
PAFAH2,86
EXTL1,0
SLC30A2,2
TRIM63,0
PDIK1L,65
FAM110D,0
ZNF593,453
RP11-96L14.7,0
CNKSR1,12
CATSPER4,0
CEP85,43
SH3BGRL3,9092
UBXN11,237
CD52,9560
AIM1L,15
ZNF683,30
LIN28A,7
DHDDS,105
RP3-476K8.3,1
HMGN2,7812
RPS6KA1,200
RP5-968P14.2,2
ARID1A,552
PIGV,56
ZDHHC18,86
SFN,1
RP1-50O24.6,0
GPN2,148
GPATCH3,77
NUDC,999
NR0B2,0
C1orf172,12
TRNP1,0
FAM46B,1
SLC9A1,43
RP11-40H20.4,2
WDTC1,100
TMEM222,188
SYTL1,322
MAP3K6,47
FCN3,0
CD164L2,0
GPR3,0
WASF2,1118
RP4-752I6.1,2
RP1-159A19.4,23
AHDC1,85
FGR,323
RP11-288L9.1,1
IFI6,410
RP11-288L9.4,0
FAM76A,104
STX12,214
PPP1R8,215
AL109927.1,0
THEMIS2,156
RPA2,592
SMPDL3B,15
RP11-460I13.2,1
XKR8,74
EYA3,85
PTAFR,61
DNAJC8,1243
AL353354.1,0
AL353354.2,1
ATPIF1,2938
RP5-1092A3.4,39
RP5-1092A3.5,1
SESN2,35
MED18,65
PHACTR4,269
RCC1,143
TRNAU1AP,289
SNHG12,470
TAF12,493
RAB42,4
RP11-442N24__B.1,5
RNU11,5
GMEB1,161
YTHDF2,514
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,2
EPB41,557
TMEM200B,0
RP11-242O24.3,0
SRSF4,558
RP11-242O24.5,2
MECR,120
RP11-467D18.2,0
PTPRU,0
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,2
MATN1-AS1,49
LAPTM5,3731
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,32
SDC3,3
PUM1,394
NKAIN1,1
SNRNP40,521
ZCCHC17,454
RP11-266K22.2,1
FABP3,7
SERINC2,9
AC114494.1,0
RP11-439L8.3,4
RP11-439L8.4,3
RP11-73M7.1,0
TINAGL1,1
HCRTR1,0
PEF1,343
RP11-73M7.6,1
RP11-73M7.9,1
COL16A1,1
BAI2,0
RP11-84A19.3,0
SPOCD1,3
RP11-84A19.2,3
RP11-84A19.4,5
PTP4A2,1676
AL136115.1,0
RP4-534N18.2,1
KHDRBS1,672
RP11-277A4.4,6
TMEM39B,141
KPNA6,247
TXLNA,146
CCDC28B,313
RP4-622L5.7,2
IQCC,16
DCDC2B,1
TMEM234,54
EIF3I,1249
FAM167B,2
LCK,1333
HDAC1,522
MARCKSL1,141
RP4-811H24.9,0
TSSK3,3
FAM229A,16
BSDC1,382
RP1-27O5.3,0
ZBTB8B,8
ZBTB8A,59
ZBTB8OS,529
RBBP4,705
SYNC,105
RP11-114B7.6,2
KIAA1522,5
YARS,195
S100PBP,190
FNDC5,0
HPCA,1
TMEM54,1
RNF19B,24
FKSG48,0
RP1-117O3.2,0
AK2,516
ADC,18
TRIM62,9
ZNF362,49
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,101
RP11-415J8.5,2
ZSCAN20,9
CSMD2,8
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,415
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,19
RP5-997D16.2,0
DLGAP3,21
RP11-244H3.4,6
ZMYM6NB,0
ZMYM6,80
ZMYM1,90
SFPQ,915
ZMYM4,204
ZMYM4-AS1,0
KIAA0319L,139
NCDN,10
RP4-728D4.2,89
TFAP2E,9
PSMB2,902
C1orf216,51
CLSPN,281
RP11-435D7.3,1
AGO4,95
AGO1,85
RP4-789D17.5,1
AGO3,369
RP4-665N4.8,0
TEKT2,0
ADPRHL2,185
COL8A2,10
TRAPPC3,508
MAP7D1,96
THRAP3,1147
SH3D21,31
EVA1B,16
RP11-268J15.5,5
STK40,72
LSM10,716
OSCP1,6
MRPS15,917
CSF3R,469
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,55
ZC3H12A,50
MEAF6,1030
SNIP1,70
DNALI1,0
GNL2,210
RSPO1,4
C1orf109,116
CDCA8,151
EPHA10,3
MANEAL,1
RP11-109P14.9,0
YRDC,37
C1orf122,178
MTF1,124
AL929472.1,0
RP11-109P14.10,43
INPP5B,89
SF3A3,383
FHL3,41
UTP11L,233
POU3F1,1
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,0
RRAGC,165
RP5-864K19.4,17
MYCBP,244
GJA9,0
RHBDL2,8
AKIRIN1,226
NDUFS5,3422
MACF1,667
RP11-420K8.1,1
KIAA0754,17
BMP8A,0
RP11-69E11.4,30
PABPC4,305
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,8
PPIE,443
BMP8B,13
OXCT2,4
RP1-118J21.25,2
TRIT1,88
MYCL,40
RP1-118J21.5,0
MFSD2A,19
CAP1,1812
PPT1,529
RLF,148
TMCO2,0
RP1-39G22.7,111
ZMPSTE24,118
COL9A2,47
SMAP2,659
ZFP69B,24
ZFP69,14
RP11-656D10.3,7
EXO5,44
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,34
RIMS3,9
RP4-739H11.3,0
NFYC-AS1,30
NFYC,244
KCNQ4,2
CITED4,8
RP5-1066H13.4,0
CTPS1,68
SLFNL1,0
SCMH1,99
RP11-399E6.1,2
FOXO6,0
RP11-399E6.4,0
EDN2,0
HIVEP3,44
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,160
RIMKLA,4
ZMYND12,1
PPCS,634
CCDC30,61
PPIH,557
RP5-994D16.3,2
YBX1,2497
CLDN19,0
LEPRE1,57
C1orf50,214
RP5-994D16.9,0
CCDC23,410
ERMAP,35
RP11-342M1.3,14
ZNF691,45
SLC2A1,68
SLC2A1-AS1,10
FAM183A,0
EBNA1BP2,530
WDR65,0
TMEM125,3
C1orf210,0
TIE1,8
MPL,0
RP1-92O14.3,26
CDC20,249
ELOVL1,251
MED8,218
RP1-92O14.6,0
SZT2,111
SZT2-AS1,1
HYI,70
HYI-AS1,0
PTPRF,5
KDM4A,79
KDM4A-AS1,18
ST3GAL3,41
RP11-184I16.4,1
ARTN,1
RP11-7O11.3,8
IPO13,47
DPH2,121
ATP6V0B,1187
B4GALT2,23
CCDC24,11
SLC6A9,4
RP5-1198O20.4,1
KLF17,2
DMAP1,241
ERI3,188
RNF220,242
TMEM53,38
C1orf228,366
KIF2C,88
RP11-269F19.2,3
RPS8,89672
BEST4,8
PLK3,72
TCTEX1D4,2
BTBD19,16
PTCH2,33
EIF2B3,171
HECTD3,47
UROD,438
ZSWIM5,3
HPDL,28
MUTYH,144
TOE1,80
TESK2,27
CCDC163P,27
MMACHC,6
PRDX1,2122
AKR1A1,842
NASP,1188
CCDC17,1
GPBP1L1,204
TMEM69,221
IPP,46
MAST2,21
PIK3R3,31
RP4-533D7.4,0
RP4-533D7.5,0
TSPAN1,1
RP11-322N21.2,0
POMGNT1,83
LURAP1,6
RAD54L,26
LRRC41,108
UQCRH,5589
NSUN4,63
FAAH,18
RP5-1109J22.2,0
LINC00505,1
DMBX1,0
MKNK1-AS1,0
KNCN,0
MKNK1,139
MOB3C,37
ATPAF1,62
EFCAB14,475
TEX38,0
EFCAB14-AS1,0
CYP4B1,0
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,10
CYP4A22,0
LINC00853,7
PDZK1IP1,13
TAL1,88
RP1-18D14.7,1
STIL,37
CMPK1,256
RP11-511I2.2,0
FOXE3,0
FOXD2-AS1,6
FOXD2,3
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,1
RP5-1024N4.4,0
SPATA6,45
AGBL4,2
BEND5,90
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,0
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,1
FAF1,71
RP5-850O15.3,0
CDKN2C,75
C1orf185,0
RP11-296A18.3,1
RNF11,62
RP11-296A18.6,1
TTC39A,12
RP11-275F13.1,4
EPS15,322
RP11-253A20.1,1
RP11-191G24.1,2
OSBPL9,181
NRD1,747
RP4-657D16.3,2
RP4-657D16.6,0
RAB3B,21
TXNDC12,527
KTI12,158
RP11-91A18.4,1
TXNDC12-AS1,0
BTF3L4,455
ZFYVE9,9
CC2D1B,44
RP11-155O18.6,0
ORC1,29
PRPF38A,518
ZCCHC11,804
RP11-25O10.2,0
GPX7,213
FAM159A,68
COA7,28
ZYG11B,108
ZYG11A,5
RP4-631H13.2,0
ECHDC2,226
SCP2,913
PODN,1
RP11-334A14.5,0
SLC1A7,0
RP11-334A14.8,0
CPT2,76
RP5-1024G6.2,0
C1orf123,424
RP5-1024G6.7,6
MAGOH,904
RP5-1024G6.5,2
RP5-1024G6.8,9
LRP8,44
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,5
RP11-117D22.1,0
RP11-117D22.2,137
DMRTB1,0
GLIS1,0
NDC1,60
YIPF1,86
DIO1,1
HSPB11,789
LRRC42,62
LDLRAD1,1
RP4-758J24.5,10
TMEM59,1773
TCEANC2,80
AL161915.1,4
CDCP2,0
RP11-446E24.4,2
AL357673.1,34
CYB5RL,18
MRPL37,518
SSBP3,161
SSBP3-AS1,0
RP5-997D24.3,2
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,25
FAM151A,0
MROH7-TTC4,0
MROH7,2
TTC4,33
PARS2,35
TTC22,10
RP11-67L3.2,0
C1orf177,2
DHCR24,26
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,0
PCSK9,0
USP24,133
RP11-101C11.1,0
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,0
RP4-710M16.2,0
PPAP2B,10
PRKAA2,0
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,5
RP6-102O10.1,0
DAB1-AS1,0
RP11-393I23.4,0
OMA1,239
TACSTD2,2
MYSM1,226
JUN,566
LINC01135,0
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,2
RP4-794H19.4,9
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,0
RP11-467C18.1,0
FGGY,48
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,68
CYP2J2,4
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,2
RP11-436K8.1,1
NFIA,200
RP4-668G5.1,0
RP5-833A20.1,0
TM2D1,439
RP11-430G17.3,3
INADL,103
L1TD1,4
KANK4,0
USP1,895
DOCK7,43
ANGPTL3,0
AL138847.1,0
RP11-230B22.1,0
ATG4C,144
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,0
FOXD3,0
ALG6,93
ITGB3BP,378
EFCAB7,40
DLEU2L,66
PGM1,142
ROR1,3
RP11-24J23.2,3
UBE2U,0
CACHD1,2
RAVER2,29
JAK1,586
RP11-182I10.3,5
RP4-535B20.4,0
RP4-535B20.1,0
AK4,37
DNAJC6,16
RP5-1044H5.1,0
LEPR,56
LEPROT,529
PDE4B,174
RP11-397C12.1,0
SGIP1,5
AL139147.1,0
TCTEX1D1,44
INSL5,0
WDR78,12
RP11-342H21.2,0
MIER1,625
SLC35D1,91
C1orf141,0
IL23R,11
IL12RB2,16
SERBP1,2934
RP4-763G1.2,0
GADD45A,219
GNG12,1
GNG12-AS1,0
DIRAS3,1
WLS,7
RPE65,0
DEPDC1,96
RP4-694A7.2,0
RP4-694A7.4,2
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,10
RP11-181B18.1,0
LRRC40,66
SRSF11,1623
RP4-677H15.4,0
ANKRD13C,97
HHLA3,85
RP11-180O5.2,0
CTH,16
RP11-42O15.3,2
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,0
RP3-333A15.1,0
ZRANB2-AS1,1
ZRANB2,1353
RP11-386O9.2,0
NEGR1,30
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,0
RP4-788P17.1,0
LRRIQ3,34
FPGT,45
FPGT-TNNI3K,7
TNNI3K,1
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,1
RP4-612J11.1,0
RP11-17E13.2,2
CRYZ,87
TYW3,416
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,3
RP4-682C21.5,1
ACADM,449
RABGGTB,323
MSH4,1
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,8
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,119
AK5,99
RP11-375A5.1,2
ZZZ3,217
USP33,288
FAM73A,120
NEXN-AS1,6
NEXN,29
FUBP1,594
DNAJB4,35
GIPC2,4
RP11-386I14.4,78
PTGFR,1
IFI44L,50
IFI44,157
ELTD1,0
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,217
LPHN2,1
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,25
RP5-836J3.1,0
TTLL7,100
RP11-486G15.2,57
PRKACB,446
SAMD13,34
DNASE2B,0
RPF1,284
GNG5,2424
CTBS,185
C1orf180,0
SSX2IP,82
LPAR3,3
MCOLN2,41
WDR63,2
MCOLN3,7
SYDE2,17
C1orf52,368
BCL10,146
RP11-131L23.1,9
DDAH1,5
RP11-131L23.2,0
RP11-290M5.4,0
CYR61,0
RP11-290M5.2,0
ZNHIT6,234
COL24A1,25
ODF2L,663
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,14
SH3GLB1,511
15-Sep,1766
HS2ST1,67
RP4-604K5.3,0
RP4-604K5.2,2
RP5-1052I5.2,0
LINC01140,1
LMO4,253
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,1
PKN2,481
GTF2B,254
CCBL2,132
RBMXL1,115
GBP3,145
GBP1,232
GBP2,263
GBP7,11
GBP4,144
GBP5,157
RP4-620F22.2,0
GBP6,0
LRRC8B,42
RP5-1007M22.2,52
LRRC8C,98
RP11-302M6.4,0
RP5-943J3.2,4
LRRC8D,145
RP11-302M6.5,0
ZNF326,384
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,2
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,493
HFM1,9
CDC7,32
TGFBR3,35
BRDT,3
EPHX4,0
BTBD8,29
KIAA1107,23
RP4-621B10.8,2
C1orf146,0
GLMN,296
RPAP2,360
GFI1,34
EVI5,118
RPL5,42573
FAM69A,30
MTF2,700
TMED5,308
CCDC18,313
DR1,393
FNBP1L,53
BCAR3,3
RP5-1033H22.2,1
RP4-561L24.3,2
DNTTIP2,453
GCLM,98
ABCA4,0
RP11-78O9.1,0
ARHGAP29,7
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,86
F3,2
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,0
SLC44A3,0
CNN3,39
RP4-639F20.1,2
ALG14,91
RP11-313A24.1,0
TMEM56,77
TMEM56-RWDD3,0
RP11-57H12.3,1
RWDD3,9
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,68
DPYD,196
DPYD-AS1,0
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,1
RP5-1070A16.1,0
SNX7,3
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,0
FRRS1,23
AGL,219
RP5-884G6.2,6
SLC35A3,142
HIAT1,113
RP4-714D9.2,0
SASS6,160
TRMT13,437
LRRC39,0
DBT,86
RP11-305E17.6,4
RTCA,220
RP5-837M10.2,0
CDC14A,134
RP5-837M10.4,0
GPR88,1
RP11-84O12.4,0
VCAM1,5
EXTL2,109
RP4-549L20.3,11
SLC30A7,138
DPH5,414
AC093157.1,25
RP11-421L21.2,2
RP11-421L21.3,116
RP4-575N6.4,23
S1PR1,108
RP11-157N3.1,0
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,0
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,228
AMY2B,25
AMY2A,0
AMY1A,0
AMY1B,1
AMY1C,0
RP11-364B6.1,3
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,1
RP11-233E12.1,0
PRMT6,63
NTNG1,0
VAV3,123
VAV3-AS1,8
RP11-356N1.2,5
SLC25A24,130
RP11-483I13.5,16
NBPF4,0
RP11-483I13.2,0
NBPF6,0
RP11-131J3.1,0
