,BMET7_Tumor
HES3,0
GPR153,0
ACOT7,70
RP1-202O8.3,4
HES2,17
ESPN,1
RP1-202O8.2,0
TNFRSF25,120
PLEKHG5,4
NOL9,55
TAS1R1,0
ZBTB48,52
KLHL21,22
PHF13,9
THAP3,73
DNAJC11,36
RP11-242F24.1,14
RP11-312B8.1,3
CAMTA1,431
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,0
RP11-338N10.2,0
RP11-338N10.3,0
VAMP3,150
PER3,16
RP3-467L1.4,4
UTS2,9
TNFRSF9,10
PARK7,1517
ERRFI1,9
RP11-431K24.1,2
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,0
RERE,95
RP5-1115A15.1,6
RP4-633I8.4,0
ENO1,2125
ENO1-AS1,3
CA6,1
SLC2A7,1
SLC2A5,11
GPR157,15
RP3-510D11.1,1
RP3-510D11.2,0
H6PD,49
SPSB1,0
RP13-392I16.1,0
SLC25A33,18
TMEM201,13
PIK3CD,83
C1orf200,2
RP11-558F24.4,16
CLSTN1,58
CTNNBIP1,31
RP11-84A14.5,0
LZIC,145
NMNAT1,67
RBP7,341
UBE4B,123
KIF1B,69
PGD,338
RP4-736L20.3,0
APITD1,43
APITD1-CORT,1
CORT,0
DFFA,125
RP5-1113E3.3,1
PEX14,45
CASZ1,8
RP4-734G22.3,0
C1orf127,0
TARDBP,420
MASP2,4
RP4-635E18.8,18
SRM,66
EXOSC10,149
RP4-635E18.7,2
RP4-635E18.6,6
MTOR,64
MTOR-AS1,0
ANGPTL7,0
UBIAD1,59
PTCHD2,0
RP1-69M21.2,0
FBXO2,2
FBXO44,90
FBXO6,77
MAD2L2,219
DRAXIN,33
AGTRAP,468
C1orf167,5
RP11-56N19.5,0
MTHFR,69
CLCN6,38
NPPA-AS1,6
NPPA,0
NPPB,0
KIAA2013,75
PLOD1,46
MFN2,53
MIIP,165
TNFRSF8,5
TNFRSF1B,159
VPS13D,111
RP5-888M10.2,0
DHRS3,91
RP11-474O21.5,0
AADACL4,0
AADACL3,0
C1orf158,3
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,24
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,0
PDPN,2
CTA-520D8.2,0
PRDM2,222
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,3
TMEM51,4
C1orf195,0
FHAD1,3
RP3-467K16.2,0
RP3-467K16.7,0
RP3-467K16.4,5
EFHD2,189
CTRC,3
CELA2A,1
CELA2B,0
CASP9,23
DNAJC16,52
RP4-680D5.8,2
AGMAT,35
RP4-680D5.2,3
DDI2,125
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,46
RP11-288I21.1,0
SLC25A34,5
RP11-169K16.4,0
TMEM82,0
FBLIM1,30
RP11-169K16.9,76
SPEN,199
ZBTB17,34
C1orf64,3
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,1
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,24
C1orf134,2
RSG1,6
FBXO42,84
SZRD1,169
SPATA21,6
NECAP2,287
RP4-798A10.2,18
RP4-798A10.7,9
RP4-798A10.4,1
U1,19
FAM231B,0
NBPF1,92
RP5-1182A14.5,0
CROCCP2,83
FAM231A,0
FAM231C,0
CROCC,13
RP11-108M9.1,0
RP11-108M9.2,0
U1,9
RP11-108M9.4,121
RP11-108M9.6,10
MFAP2,2
RP1-37C10.3,0
ATP13A2,43
SDHB,403
PADI2,17
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,119
AC004824.2,0
RP1-20B21.4,1
RCC2,116
ARHGEF10L,19
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,3
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,22
IFFO2,10
UBR4,221
RP1-43E13.2,14
EMC1,54
MRTO4,183
AKR7A3,0
AKR7A2,27
PQLC2,29
CAPZB,1076
RP5-1056L3.1,0
MINOS1-NBL1,1
MINOS1,1166
NBL1,10
HTR6,0
TMCO4,48
RNF186,0
RP11-91K11.2,0
OTUD3,15
PLA2G2E,0
PLA2G2A,34
PLA2G5,2
PLA2G2D,3
PLA2G2F,0
RP3-340N1.2,1
PLA2G2C,2
UBXN10-AS1,11
UBXN10,11
RP3-340N1.6,0
VWA5B1,1
RP4-745E8.2,0
LINC01141,0
RP4-749H3.2,0
CAMK2N1,2
MUL1,52
FAM43B,0
CDA,187
PINK1,30
PINK1-AS,5
DDOST,499
KIF17,7
SH2D5,0
RP5-930J4.2,0
HP1BP3,811
RP5-930J4.4,8
EIF4G3,150
ECE1,68
RP3-329E20.2,0
RP5-1071N3.1,1
RP11-293F5.1,0
NBPF3,29
ALPL,1
RP11-63N8.3,0
RAP1GAP,0
USP48,202
LDLRAD2,7
HSPG2,60
CELA3B,0
CELA3A,0
RP1-224A6.3,8
LINC00339,57
CDC42,1461
RP1-224A6.9,5
WNT4,1
ZBTB40,63
EPHA8,0
C1QA,139
C1QC,69
C1QB,84
EPHB2,6
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,2
KDM1A,68
RP1-184J9.2,0
LUZP1,124
HTR1D,2
RP5-1057J7.6,38
HNRNPR,862
ZNF436,7
C1orf213,19
RP5-1057J7.7,0
TCEA3,45
ASAP3,2
E2F2,22
RP1-150O5.3,1
ID3,185
MDS2,56
RPL11,37263
TCEB3,97
RP5-886K2.3,41
PITHD1,66
LYPLA2,167
GALE,33
HMGCL,191
FUCA1,58
CNR2,35
RP11-4M23.3,0
PNRC2,19
SRSF10,350
RP11-293P20.2,0
MYOM3,2
RP11-293P20.4,0
IL22RA1,0
IFNLR1,4
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,1
STPG1,25
NIPAL3,98
RCAN3,118
RP4-594I10.3,138
NCMAP,22
SRRM1,1291
CLIC4,70
RUNX3,140
RP11-84D1.1,0
RP11-84D1.2,0
RP4-799D16.1,5
RP4-706G24.1,0
SYF2,784
C1orf63,1657
RP3-465N24.6,1
RHD,5
TMEM50A,613
RHCE,18
TMEM57,98
LDLRAP1,191
RP11-70P17.1,1
MAN1C1,13
RP1-187B23.1,53
SEPN1,41
RP1-317E23.6,0
RP1-317E23.3,4
MTFR1L,114
AL020996.1,1
RP1-317E23.7,0
AUNIP,27
RP1-125I3.2,6
PAQR7,14
STMN1,1817
PAFAH2,38
EXTL1,1
SLC30A2,3
TRIM63,0
PDIK1L,47
FAM110D,1
ZNF593,241
RP11-96L14.7,1
CNKSR1,4
CATSPER4,0
CEP85,33
SH3BGRL3,4734
UBXN11,186
CD52,5119
AIM1L,13
ZNF683,2
LIN28A,6
DHDDS,49
RP3-476K8.3,0
HMGN2,3875
RPS6KA1,171
RP5-968P14.2,1
ARID1A,249
PIGV,35
ZDHHC18,33
SFN,0
RP1-50O24.6,0
GPN2,104
GPATCH3,36
NUDC,722
NR0B2,0
C1orf172,5
TRNP1,1
FAM46B,0
SLC9A1,23
RP11-40H20.4,1
WDTC1,55
TMEM222,105
SYTL1,80
MAP3K6,17
FCN3,2
CD164L2,0
GPR3,0
WASF2,572
RP4-752I6.1,1
RP1-159A19.4,6
AHDC1,28
FGR,278
RP11-288L9.1,0
IFI6,172
RP11-288L9.4,0
FAM76A,66
STX12,140
PPP1R8,115
AL109927.1,0
THEMIS2,153
RPA2,393
SMPDL3B,8
RP11-460I13.2,0
XKR8,29
EYA3,74
PTAFR,62
DNAJC8,778
AL353354.1,0
AL353354.2,20
ATPIF1,1957
RP5-1092A3.4,25
RP5-1092A3.5,0
SESN2,32
MED18,30
PHACTR4,233
RCC1,105
TRNAU1AP,116
SNHG12,199
TAF12,291
RAB42,4
RP11-442N24__B.1,6
RNU11,12
GMEB1,68
YTHDF2,292
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,1
EPB41,289
TMEM200B,3
RP11-242O24.3,0
SRSF4,235
RP11-242O24.5,1
MECR,43
RP11-467D18.2,0
PTPRU,0
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,0
MATN1-AS1,24
LAPTM5,2920
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,0
SDC3,4
PUM1,168
NKAIN1,0
SNRNP40,409
ZCCHC17,231
RP11-266K22.2,2
FABP3,0
SERINC2,7
AC114494.1,0
RP11-439L8.3,2
RP11-439L8.4,2
RP11-73M7.1,0
TINAGL1,1
HCRTR1,0
PEF1,202
RP11-73M7.6,0
RP11-73M7.9,2
COL16A1,1
BAI2,2
RP11-84A19.3,0
SPOCD1,2
RP11-84A19.2,2
RP11-84A19.4,0
PTP4A2,454
AL136115.1,0
RP4-534N18.2,1
KHDRBS1,333
RP11-277A4.4,6
TMEM39B,71
KPNA6,139
TXLNA,52
CCDC28B,126
RP4-622L5.7,2
IQCC,6
DCDC2B,2
TMEM234,37
EIF3I,808
FAM167B,11
LCK,661
HDAC1,369
MARCKSL1,60
RP4-811H24.9,0
TSSK3,2
FAM229A,4
BSDC1,180
RP1-27O5.3,0
ZBTB8B,21
ZBTB8A,51
ZBTB8OS,245
RBBP4,573
SYNC,106
RP11-114B7.6,0
KIAA1522,10
YARS,185
S100PBP,96
FNDC5,1
HPCA,1
TMEM54,0
RNF19B,23
FKSG48,1
RP1-117O3.2,0
AK2,339
ADC,12
TRIM62,5
ZNF362,24
RP11-415J8.7,0
A3GALT2,0
RP11-415J8.3,0
PHC2,63
RP11-415J8.5,0
ZSCAN20,10
CSMD2,15
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,199
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,3
RP5-997D16.2,0
DLGAP3,5
RP11-244H3.4,1
ZMYM6NB,0
ZMYM6,73
ZMYM1,52
SFPQ,546
ZMYM4,118
ZMYM4-AS1,0
KIAA0319L,145
NCDN,9
RP4-728D4.2,68
TFAP2E,5
PSMB2,588
C1orf216,55
CLSPN,147
RP11-435D7.3,0
AGO4,93
AGO1,51
RP4-789D17.5,0
AGO3,249
RP4-665N4.8,0
TEKT2,0
ADPRHL2,75
COL8A2,3
TRAPPC3,291
MAP7D1,53
THRAP3,529
SH3D21,14
EVA1B,8
RP11-268J15.5,2
STK40,36
LSM10,298
OSCP1,2
MRPS15,462
CSF3R,364
RP4-614N24.1,0
GRIK3,0
RP5-1180C18.1,0
LINC01137,35
ZC3H12A,109
MEAF6,523
SNIP1,37
DNALI1,0
GNL2,146
RSPO1,1
C1orf109,79
CDCA8,58
EPHA10,0
MANEAL,1
RP11-109P14.9,0
YRDC,15
C1orf122,56
MTF1,81
AL929472.1,0
RP11-109P14.10,33
INPP5B,62
SF3A3,252
FHL3,31
UTP11L,165
POU3F1,3
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,0
RRAGC,53
RP5-864K19.4,8
MYCBP,117
GJA9,0
RHBDL2,8
AKIRIN1,110
NDUFS5,1953
MACF1,411
RP11-420K8.1,2
KIAA0754,20
BMP8A,0
RP11-69E11.4,20
PABPC4,185
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,6
PPIE,231
BMP8B,7
OXCT2,2
RP1-118J21.25,2
TRIT1,41
MYCL,24
RP1-118J21.5,0
MFSD2A,9
CAP1,1168
PPT1,387
RLF,165
TMCO2,0
RP1-39G22.7,61
ZMPSTE24,85
COL9A2,31
SMAP2,352
ZFP69B,14
ZFP69,6
RP11-656D10.3,11
EXO5,32
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,29
RIMS3,6
RP4-739H11.3,0
NFYC-AS1,12
NFYC,121
KCNQ4,2
CITED4,0
RP5-1066H13.4,0
CTPS1,46
SLFNL1,0
SCMH1,55
RP11-399E6.1,0
FOXO6,0
RP11-399E6.4,0
EDN2,0
HIVEP3,24
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,103
RIMKLA,1
ZMYND12,0
PPCS,356
CCDC30,48
PPIH,261
RP5-994D16.3,3
YBX1,1289
CLDN19,0
LEPRE1,39
C1orf50,95
RP5-994D16.9,0
CCDC23,211
ERMAP,38
RP11-342M1.3,8
ZNF691,20
SLC2A1,65
SLC2A1-AS1,7
FAM183A,0
EBNA1BP2,282
WDR65,0
TMEM125,1
C1orf210,0
TIE1,17
MPL,0
RP1-92O14.3,15
CDC20,111
ELOVL1,143
MED8,147
RP1-92O14.6,0
SZT2,73
SZT2-AS1,0
HYI,16
HYI-AS1,0
PTPRF,3
KDM4A,50
KDM4A-AS1,11
ST3GAL3,15
RP11-184I16.4,3
ARTN,0
RP11-7O11.3,5
IPO13,32
DPH2,72
ATP6V0B,923
B4GALT2,10
CCDC24,5
SLC6A9,1
RP5-1198O20.4,2
KLF17,2
DMAP1,166
ERI3,121
RNF220,95
TMEM53,20
C1orf228,128
KIF2C,39
RP11-269F19.2,2
RPS8,38681
BEST4,4
PLK3,59
TCTEX1D4,0
BTBD19,15
PTCH2,18
EIF2B3,136
HECTD3,18
UROD,455
ZSWIM5,1
HPDL,30
MUTYH,95
TOE1,50
TESK2,35
CCDC163P,6
MMACHC,3
PRDX1,1095
AKR1A1,472
NASP,682
CCDC17,4
GPBP1L1,171
TMEM69,118
IPP,33
MAST2,12
PIK3R3,243
RP4-533D7.4,0
RP4-533D7.5,0
TSPAN1,0
RP11-322N21.2,0
POMGNT1,45
LURAP1,5
RAD54L,10
LRRC41,99
UQCRH,3108
NSUN4,43
FAAH,15
RP5-1109J22.2,0
LINC00505,2
DMBX1,1
MKNK1-AS1,0
KNCN,0
MKNK1,131
MOB3C,26
ATPAF1,39
EFCAB14,163
TEX38,0
EFCAB14-AS1,0
CYP4B1,5
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,5
CYP4A22,0
LINC00853,6
PDZK1IP1,9
TAL1,38
RP1-18D14.7,2
STIL,31
CMPK1,192
RP11-511I2.2,1
FOXE3,0
FOXD2-AS1,2
FOXD2,0
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,2
RP5-1024N4.4,0
SPATA6,29
AGBL4,1
BEND5,32
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,0
ELAVL4,1
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,2
FAF1,34
RP5-850O15.3,0
CDKN2C,55
C1orf185,0
RP11-296A18.3,2
RNF11,46
RP11-296A18.6,0
TTC39A,16
RP11-275F13.1,14
EPS15,319
RP11-253A20.1,1
RP11-191G24.1,4
OSBPL9,175
NRD1,475
RP4-657D16.3,4
RP4-657D16.6,0
RAB3B,46
TXNDC12,347
KTI12,48
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,326
ZFYVE9,10
CC2D1B,23
RP11-155O18.6,0
ORC1,21
PRPF38A,354
ZCCHC11,480
RP11-25O10.2,1
GPX7,39
FAM159A,33
COA7,33
ZYG11B,68
ZYG11A,4
RP4-631H13.2,0
ECHDC2,143
SCP2,626
PODN,4
RP11-334A14.5,1
SLC1A7,3
RP11-334A14.8,0
CPT2,30
RP5-1024G6.2,3
C1orf123,212
RP5-1024G6.7,0
MAGOH,558
RP5-1024G6.5,1
RP5-1024G6.8,11
LRP8,20
RP4-784A16.1,0
RP4-784A16.2,1
RP4-784A16.4,0
RP4-784A16.5,5
RP11-117D22.1,0
RP11-117D22.2,30
DMRTB1,0
GLIS1,0
NDC1,43
YIPF1,57
DIO1,0
HSPB11,448
LRRC42,48
LDLRAD1,0
RP4-758J24.5,8
TMEM59,1298
TCEANC2,58
AL161915.1,2
CDCP2,0
RP11-446E24.4,0
AL357673.1,31
CYB5RL,19
MRPL37,225
SSBP3,94
SSBP3-AS1,0
RP5-997D24.3,1
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,19
FAM151A,0
MROH7-TTC4,0
MROH7,1
TTC4,19
PARS2,13
TTC22,1
RP11-67L3.2,0
C1orf177,0
DHCR24,5
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,0
PCSK9,0
USP24,104
RP11-101C11.1,0
RP11-466L17.1,1
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,1
RP4-710M16.2,0
PPAP2B,17
PRKAA2,1
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,5
RP6-102O10.1,0
DAB1-AS1,0
RP11-393I23.4,0
OMA1,137
TACSTD2,1
MYSM1,168
JUN,484
LINC01135,2
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,2
RP4-794H19.4,5
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,1
RP11-467C18.1,0
FGGY,26
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,63
CYP2J2,1
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,1
NFIA,247
RP4-668G5.1,0
RP5-833A20.1,0
TM2D1,244
RP11-430G17.3,2
INADL,89
L1TD1,1
KANK4,0
USP1,395
DOCK7,17
ANGPTL3,0
AL138847.1,0
RP11-230B22.1,0
ATG4C,88
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,0
FOXD3,0
ALG6,78
ITGB3BP,188
EFCAB7,40
DLEU2L,32
PGM1,104
ROR1,1
RP11-24J23.2,6
UBE2U,0
CACHD1,2
RAVER2,16
JAK1,271
RP11-182I10.3,1
RP4-535B20.4,1
RP4-535B20.1,0
AK4,26
DNAJC6,22
RP5-1044H5.1,0
LEPR,45
LEPROT,389
PDE4B,142
RP11-397C12.1,0
SGIP1,2
AL139147.1,2
TCTEX1D1,15
INSL5,0
WDR78,6
RP11-342H21.2,0
MIER1,389
SLC35D1,45
C1orf141,1
IL23R,5
IL12RB2,5
SERBP1,1504
RP4-763G1.2,0
GADD45A,68
GNG12,3
GNG12-AS1,0
DIRAS3,1
WLS,23
RPE65,0
DEPDC1,37
RP4-694A7.2,0
RP4-694A7.4,1
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,11
RP11-181B18.1,0
LRRC40,66
SRSF11,1240
RP4-677H15.4,0
ANKRD13C,82
HHLA3,46
RP11-180O5.2,0
CTH,18
RP11-42O15.3,1
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,4
RP3-333A15.1,0
ZRANB2-AS1,2
ZRANB2,698
RP11-386O9.2,2
NEGR1,26
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,3
RP4-788P17.1,0
LRRIQ3,13
FPGT,54
FPGT-TNNI3K,4
TNNI3K,0
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,0
RP4-612J11.1,0
RP11-17E13.2,0
CRYZ,52
TYW3,203
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,1
RP4-682C21.5,1
ACADM,297
RABGGTB,288
MSH4,1
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,12
RP5-1102E8.3,0
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,68
AK5,20
RP11-375A5.1,0
ZZZ3,109
USP33,238
FAM73A,115
NEXN-AS1,5
NEXN,29
FUBP1,418
DNAJB4,159
GIPC2,1
RP11-386I14.4,18
PTGFR,3
IFI44L,28
IFI44,84
ELTD1,26
RP4-726F1.1,1
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,169
LPHN2,3
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,22
RP5-836J3.1,0
TTLL7,81
RP11-486G15.2,16
PRKACB,330
SAMD13,16
DNASE2B,0
RPF1,181
GNG5,1183
CTBS,139
C1orf180,0
SSX2IP,91
LPAR3,11
MCOLN2,41
WDR63,1
MCOLN3,3
SYDE2,13
C1orf52,193
BCL10,122
RP11-131L23.1,13
DDAH1,2
RP11-131L23.2,0
RP11-290M5.4,0
CYR61,7
RP11-290M5.2,0
ZNHIT6,128
COL24A1,9
ODF2L,392
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,0
RP4-612B15.3,7
SH3GLB1,333
15-Sep,941
HS2ST1,65
RP4-604K5.3,2
RP4-604K5.2,2
RP5-1052I5.2,0
LINC01140,0
LMO4,145
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,0
PKN2,376
GTF2B,192
CCBL2,125
RBMXL1,97
GBP3,93
GBP1,109
GBP2,233
GBP7,8
GBP4,105
GBP5,108
RP4-620F22.2,0
GBP6,1
LRRC8B,33
RP5-1007M22.2,24
LRRC8C,60
RP11-302M6.4,0
RP5-943J3.2,0
LRRC8D,57
RP11-302M6.5,1
ZNF326,246
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,7
RP4-665J23.2,0
RP4-665J23.4,1
ZNF644,340
HFM1,3
CDC7,27
TGFBR3,34
BRDT,8
EPHX4,2
BTBD8,15
KIAA1107,12
RP4-621B10.8,2
C1orf146,0
GLMN,153
RPAP2,246
GFI1,5
EVI5,112
RPL5,18022
FAM69A,17
MTF2,301
TMED5,246
CCDC18,148
DR1,161
FNBP1L,28
BCAR3,4
RP5-1033H22.2,0
RP4-561L24.3,1
DNTTIP2,329
GCLM,67
ABCA4,0
RP11-78O9.1,0
ARHGAP29,30
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,55
F3,0
RP11-86H7.6,1
RP11-86H7.7,0
LINC01057,0
SLC44A3,0
CNN3,40
RP4-639F20.1,1
ALG14,55
RP11-313A24.1,0
TMEM56,72
TMEM56-RWDD3,0
RP11-57H12.3,1
RWDD3,19
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,61
DPYD,175
DPYD-AS1,0
DPYD-AS2,0
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,1
SNX7,10
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,9
FRRS1,17
AGL,106
RP5-884G6.2,4
SLC35A3,94
HIAT1,155
RP4-714D9.2,0
SASS6,96
TRMT13,215
LRRC39,3
DBT,89
RP11-305E17.6,6
RTCA,159
RP5-837M10.2,0
CDC14A,125
RP5-837M10.4,0
GPR88,0
RP11-84O12.4,0
VCAM1,11
EXTL2,61
RP4-549L20.3,10
SLC30A7,124
DPH5,206
AC093157.1,19
RP11-421L21.2,4
RP11-421L21.3,58
RP4-575N6.4,13
S1PR1,40
RP11-157N3.1,0
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,0
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,215
AMY2B,29
AMY2A,0
AMY1A,3
AMY1B,3
AMY1C,0
RP11-364B6.1,12
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,0
RP11-233E12.1,0
PRMT6,45
NTNG1,1
VAV3,78
VAV3-AS1,4
RP11-356N1.2,5
SLC25A24,68
RP11-483I13.5,1
NBPF4,0
RP11-483I13.2,1
NBPF6,0
RP11-131J3.1,0
FAM102B,27
HENMT1,123
