,BMET3_Involved
HES3,0
GPR153,8
ACOT7,69
RP1-202O8.3,17
HES2,33
ESPN,1
RP1-202O8.2,1
TNFRSF25,374
PLEKHG5,3
NOL9,144
TAS1R1,0
ZBTB48,95
KLHL21,72
PHF13,43
THAP3,206
DNAJC11,74
RP11-242F24.1,18
RP11-312B8.1,4
CAMTA1,823
RP11-334N17.1,0
RP3-453P22.2,0
RP4-549F15.1,0
RP11-338N10.1,1
RP11-338N10.2,0
RP11-338N10.3,0
VAMP3,431
PER3,25
RP3-467L1.4,2
UTS2,51
TNFRSF9,5
PARK7,2411
ERRFI1,15
RP11-431K24.1,0
RP11-431K24.3,0
RP11-431K24.4,0
SLC45A1,6
RERE,254
RP5-1115A15.1,16
RP4-633I8.4,0
ENO1,2871
ENO1-AS1,10
CA6,10
SLC2A7,0
SLC2A5,4
GPR157,39
RP3-510D11.1,0
RP3-510D11.2,1
H6PD,208
SPSB1,2
RP13-392I16.1,0
SLC25A33,30
TMEM201,8
PIK3CD,253
C1orf200,8
RP11-558F24.4,27
CLSTN1,217
CTNNBIP1,89
RP11-84A14.5,0
LZIC,362
NMNAT1,136
RBP7,1487
UBE4B,240
KIF1B,189
PGD,690
RP4-736L20.3,0
APITD1,29
APITD1-CORT,2
CORT,0
DFFA,276
RP5-1113E3.3,5
PEX14,82
CASZ1,33
RP4-734G22.3,0
C1orf127,3
TARDBP,800
MASP2,2
RP4-635E18.8,156
SRM,93
EXOSC10,228
RP4-635E18.7,11
RP4-635E18.6,3
MTOR,85
MTOR-AS1,0
ANGPTL7,0
UBIAD1,147
PTCHD2,1
RP1-69M21.2,0
FBXO2,31
FBXO44,289
FBXO6,228
MAD2L2,540
DRAXIN,67
AGTRAP,1477
C1orf167,8
RP11-56N19.5,1
MTHFR,175
CLCN6,97
NPPA-AS1,10
NPPA,2
NPPB,0
KIAA2013,213
PLOD1,78
MFN2,98
MIIP,358
TNFRSF8,18
TNFRSF1B,1205
VPS13D,222
RP5-888M10.2,0
DHRS3,214
RP11-474O21.5,4
AADACL4,0
AADACL3,0
C1orf158,7
PRAMEF12,0
PRAMEF1,0
RP5-845O24.8,0
PRAMEF11,0
HNRNPCL1,10
PRAMEF2,0
PRAMEF4,0
PRAMEF10,0
PRAMEF7,0
PRAMEF6,0
PRAMEF22,0
WI2-3308P17.2,0
RP13-221M14.2,0
PRAMEF26,0
PRAMEF3,0
PRAMEF5,0
PRAMEF8,0
PRAMEF9,0
RP11-219C24.10,0
PRAMEF13,0
PRAMEF18,0
PRAMEF16,0
PRAMEF21,0
PRAMEF15,0
PRAMEF14,0
PRAMEF19,0
PRAMEF17,0
PRAMEF20,0
LRRC38,0
RP4-597A16.2,0
PDPN,5
CTA-520D8.2,0
PRDM2,585
RP11-344F13.1,0
RP4-704D23.1,0
KAZN,2
TMEM51,6
C1orf195,0
FHAD1,19
RP3-467K16.2,4
RP3-467K16.7,0
RP3-467K16.4,22
EFHD2,996
CTRC,3
CELA2A,2
CELA2B,0
CASP9,46
DNAJC16,147
RP4-680D5.8,1
AGMAT,74
RP4-680D5.2,2
DDI2,195
RSC1A1,0
RP4-680D5.9,0
PLEKHM2,149
RP11-288I21.1,0
SLC25A34,7
RP11-169K16.4,0
TMEM82,0
FBLIM1,66
RP11-169K16.9,252
SPEN,372
ZBTB17,130
C1orf64,0
RP11-5P18.5,0
HSPB7,0
CLCNKA,0
CLCNKB,0
FAM131C,0
EPHA2,0
RP11-276H7.2,0
RP11-276H7.3,0
ARHGEF19-AS1,0
ARHGEF19,63
C1orf134,8
RSG1,21
FBXO42,184
SZRD1,352
SPATA21,5
NECAP2,541
RP4-798A10.2,34
RP4-798A10.7,35
RP4-798A10.4,6
U1,0
FAM231B,0
NBPF1,126
RP5-1182A14.5,0
CROCCP2,244
FAM231A,0
FAM231C,0
CROCC,41
RP11-108M9.1,0
RP11-108M9.2,0
U1,0
RP11-108M9.4,291
RP11-108M9.6,45
MFAP2,0
RP1-37C10.3,0
ATP13A2,85
SDHB,555
PADI2,146
RP11-380J14.1,0
PADI1,0
PADI3,0
PADI4,142
AC004824.2,0
RP1-20B21.4,0
RCC2,167
ARHGEF10L,23
RP11-473A10.2,0
ACTL8,0
RP11-174G17.2,0
IGSF21,0
RP11-174G17,0
RP11-422P22.1,0
KLHDC7A,1
PAX7,0
TAS1R2,0
RP13-279N23.2,0
ALDH4A1,6
IFFO2,36
UBR4,406
RP1-43E13.2,33
EMC1,94
MRTO4,149
AKR7A3,1
AKR7A2,262
PQLC2,51
CAPZB,2917
RP5-1056L3.1,0
MINOS1-NBL1,0
MINOS1,1927
NBL1,5
HTR6,0
TMCO4,79
RNF186,0
RP11-91K11.2,0
OTUD3,66
PLA2G2E,0
PLA2G2A,0
PLA2G5,0
PLA2G2D,9
PLA2G2F,1
RP3-340N1.2,2
PLA2G2C,3
UBXN10-AS1,36
UBXN10,5
RP3-340N1.6,0
VWA5B1,1
RP4-745E8.2,1
LINC01141,0
RP4-749H3.2,0
CAMK2N1,25
MUL1,90
FAM43B,0
CDA,812
PINK1,78
PINK1-AS,16
DDOST,676
KIF17,3
SH2D5,0
RP5-930J4.2,0
HP1BP3,1697
RP5-930J4.4,24
EIF4G3,319
ECE1,212
RP3-329E20.2,0
RP5-1071N3.1,2
RP11-293F5.1,0
NBPF3,48
ALPL,3
RP11-63N8.3,0
RAP1GAP,0
USP48,423
LDLRAD2,6
HSPG2,25
CELA3B,0
CELA3A,0
RP1-224A6.3,13
LINC00339,203
CDC42,4718
RP1-224A6.9,4
WNT4,0
ZBTB40,103
EPHA8,0
C1QA,133
C1QC,67
C1QB,73
EPHB2,26
RP11-69E9.1,0
RP1-74M1.3,0
LACTBL1,0
C1orf234,0
KDM1A,104
RP1-184J9.2,0
LUZP1,247
HTR1D,1
RP5-1057J7.6,101
HNRNPR,1301
ZNF436,7
C1orf213,28
RP5-1057J7.7,1
TCEA3,39
ASAP3,0
E2F2,9
RP1-150O5.3,2
ID3,139
MDS2,89
RPL11,86476
TCEB3,217
RP5-886K2.3,99
PITHD1,401
LYPLA2,425
GALE,76
HMGCL,362
FUCA1,112
CNR2,94
RP11-4M23.3,1
PNRC2,61
SRSF10,483
RP11-293P20.2,0
MYOM3,10
RP11-293P20.4,0
IL22RA1,0
IFNLR1,31
RP11-10N16.2,0
RP11-10N16.3,0
GRHL3,0
STPG1,49
NIPAL3,307
RCAN3,287
RP4-594I10.3,204
NCMAP,58
SRRM1,2839
CLIC4,79
RUNX3,852
RP11-84D1.1,0
RP11-84D1.2,1
RP4-799D16.1,20
RP4-706G24.1,0
SYF2,2098
C1orf63,3683
RP3-465N24.6,8
RHD,10
TMEM50A,1590
RHCE,0
TMEM57,176
LDLRAP1,380
RP11-70P17.1,19
MAN1C1,30
RP1-187B23.1,69
SEPN1,60
RP1-317E23.6,0
RP1-317E23.3,4
MTFR1L,168
AL020996.1,11
RP1-317E23.7,0
AUNIP,3
RP1-125I3.2,9
PAQR7,62
STMN1,538
PAFAH2,142
EXTL1,2
SLC30A2,13
TRIM63,0
PDIK1L,82
FAM110D,0
ZNF593,444
RP11-96L14.7,1
CNKSR1,7
CATSPER4,0
CEP85,34
SH3BGRL3,17901
UBXN11,522
CD52,18470
AIM1L,7
ZNF683,150
LIN28A,11
DHDDS,115
RP3-476K8.3,2
HMGN2,4048
RPS6KA1,510
RP5-968P14.2,1
ARID1A,596
PIGV,82
ZDHHC18,123
SFN,1
RP1-50O24.6,1
GPN2,207
GPATCH3,111
NUDC,928
NR0B2,0
C1orf172,2
TRNP1,1
FAM46B,0
SLC9A1,65
RP11-40H20.4,1
WDTC1,206
TMEM222,198
SYTL1,839
MAP3K6,73
FCN3,0
CD164L2,0
GPR3,0
WASF2,1692
RP4-752I6.1,7
RP1-159A19.4,15
AHDC1,66
FGR,1541
RP11-288L9.1,2
IFI6,743
RP11-288L9.4,0
FAM76A,264
STX12,388
PPP1R8,226
AL109927.1,0
THEMIS2,798
RPA2,822
SMPDL3B,1
RP11-460I13.2,1
XKR8,188
EYA3,154
PTAFR,189
DNAJC8,1271
AL353354.1,0
AL353354.2,4
ATPIF1,2301
RP5-1092A3.4,92
RP5-1092A3.5,1
SESN2,71
MED18,32
PHACTR4,340
RCC1,106
TRNAU1AP,370
SNHG12,557
TAF12,545
RAB42,3
RP11-442N24__B.1,6
RNU11,3
GMEB1,209
YTHDF2,503
OPRD1,0
RP1-212P9.2,0
RP1-212P9.3,1
EPB41,812
TMEM200B,1
RP11-242O24.3,0
SRSF4,650
RP11-242O24.5,5
MECR,68
RP11-467D18.2,0
PTPRU,0
RP3-437I16.1,0
RP4-656G21.1,0
RP11-111I12.1,0
RP5-893G23.1,0
RP4-591L5.1,0
RP4-591L5.2,0
MATN1,3
MATN1-AS1,70
LAPTM5,5864
RP5-1125N11.1,0
RP1-65J11.1,0
RP1-65J11.5,5
SDC3,8
PUM1,427
NKAIN1,0
SNRNP40,524
ZCCHC17,463
RP11-266K22.2,0
FABP3,0
SERINC2,29
AC114494.1,0
RP11-439L8.3,0
RP11-439L8.4,1
RP11-73M7.1,0
TINAGL1,3
HCRTR1,0
PEF1,362
RP11-73M7.6,1
RP11-73M7.9,0
COL16A1,1
BAI2,6
RP11-84A19.3,0
SPOCD1,3
RP11-84A19.2,4
RP11-84A19.4,23
PTP4A2,1968
AL136115.1,1
RP4-534N18.2,4
KHDRBS1,636
RP11-277A4.4,6
TMEM39B,99
KPNA6,383
TXLNA,153
CCDC28B,258
RP4-622L5.7,6
IQCC,21
DCDC2B,2
TMEM234,84
EIF3I,1204
FAM167B,22
LCK,1743
HDAC1,528
MARCKSL1,216
RP4-811H24.9,0
TSSK3,5
FAM229A,32
BSDC1,346
RP1-27O5.3,0
ZBTB8B,38
ZBTB8A,69
ZBTB8OS,845
RBBP4,993
SYNC,295
RP11-114B7.6,5
KIAA1522,2
YARS,248
S100PBP,319
FNDC5,0
HPCA,0
TMEM54,0
RNF19B,79
FKSG48,0
RP1-117O3.2,0
AK2,400
ADC,21
TRIM62,26
ZNF362,91
RP11-415J8.7,1
A3GALT2,0
RP11-415J8.3,0
PHC2,616
RP11-415J8.5,1
ZSCAN20,13
CSMD2,49
HMGB4,0
RP5-1007G16.1,0
C1orf94,0
SMIM12,575
GJB5,0
GJB4,0
RP1-34M23.5,0
GJB3,0
GJA4,1
RP5-997D16.2,0
DLGAP3,31
RP11-244H3.4,5
ZMYM6NB,0
ZMYM6,214
ZMYM1,142
SFPQ,1186
ZMYM4,215
ZMYM4-AS1,0
KIAA0319L,464
NCDN,11
RP4-728D4.2,249
TFAP2E,17
PSMB2,823
C1orf216,110
CLSPN,81
RP11-435D7.3,0
AGO4,367
AGO1,195
RP4-789D17.5,2
AGO3,610
RP4-665N4.8,0
TEKT2,2
ADPRHL2,256
COL8A2,5
TRAPPC3,631
MAP7D1,174
THRAP3,1080
SH3D21,12
EVA1B,46
RP11-268J15.5,5
STK40,141
LSM10,1173
OSCP1,2
MRPS15,738
CSF3R,1156
RP4-614N24.1,0
GRIK3,1
RP5-1180C18.1,0
LINC01137,60
ZC3H12A,113
MEAF6,1531
SNIP1,97
DNALI1,0
GNL2,221
RSPO1,10
C1orf109,156
CDCA8,13
EPHA10,2
MANEAL,5
RP11-109P14.9,0
YRDC,31
C1orf122,324
MTF1,137
AL929472.1,0
RP11-109P14.10,86
INPP5B,129
SF3A3,284
FHL3,138
UTP11L,194
POU3F1,0
RP5-884C9.2,0
RP11-214L19.1,0
RP11-329N22.1,1
RRAGC,197
RP5-864K19.4,18
MYCBP,260
GJA9,0
RHBDL2,14
AKIRIN1,388
NDUFS5,3741
MACF1,1129
RP11-420K8.1,1
KIAA0754,53
BMP8A,0
RP11-69E11.4,19
PABPC4,273
RP11-69E11.8,0
HEYL,0
RP1-144F13.3,0
NT5C1A,0
HPCAL4,19
PPIE,439
BMP8B,11
OXCT2,2
RP1-118J21.25,0
TRIT1,83
MYCL,51
RP1-118J21.5,0
MFSD2A,8
CAP1,1982
PPT1,721
RLF,259
TMCO2,0
RP1-39G22.7,102
ZMPSTE24,260
COL9A2,29
SMAP2,1823
ZFP69B,22
ZFP69,7
RP11-656D10.3,22
EXO5,48
RP11-656D10.5,0
RP11-656D10.6,0
ZNF684,49
RIMS3,5
RP4-739H11.3,0
NFYC-AS1,42
NFYC,258
KCNQ4,0
CITED4,8
RP5-1066H13.4,0
CTPS1,47
SLFNL1,1
SCMH1,73
RP11-399E6.1,0
FOXO6,0
RP11-399E6.4,0
EDN2,0
HIVEP3,99
RP11-486B10.3,0
GUCA2B,0
GUCA2A,0
FOXJ3,277
RIMKLA,4
ZMYND12,3
PPCS,800
CCDC30,89
PPIH,444
RP5-994D16.3,1
YBX1,2146
CLDN19,3
LEPRE1,329
C1orf50,205
RP5-994D16.9,0
CCDC23,381
ERMAP,40
RP11-342M1.3,23
ZNF691,65
SLC2A1,83
SLC2A1-AS1,17
FAM183A,0
EBNA1BP2,260
WDR65,2
TMEM125,0
C1orf210,1
TIE1,13
MPL,0
RP1-92O14.3,16
CDC20,10
ELOVL1,349
MED8,213
RP1-92O14.6,1
SZT2,209
SZT2-AS1,1
HYI,38
HYI-AS1,0
PTPRF,14
KDM4A,70
KDM4A-AS1,23
ST3GAL3,47
RP11-184I16.4,1
ARTN,0
RP11-7O11.3,4
IPO13,38
DPH2,67
ATP6V0B,1898
B4GALT2,3
CCDC24,16
SLC6A9,2
RP5-1198O20.4,1
KLF17,6
DMAP1,354
ERI3,143
RNF220,224
TMEM53,43
C1orf228,184
KIF2C,6
RP11-269F19.2,2
RPS8,87565
BEST4,8
PLK3,110
TCTEX1D4,6
BTBD19,21
PTCH2,52
EIF2B3,138
HECTD3,77
UROD,256
ZSWIM5,8
HPDL,2
MUTYH,124
TOE1,76
TESK2,54
CCDC163P,40
MMACHC,9
PRDX1,1448
AKR1A1,756
NASP,702
CCDC17,7
GPBP1L1,553
TMEM69,227
IPP,85
MAST2,20
PIK3R3,98
RP4-533D7.4,0
RP4-533D7.5,0
TSPAN1,0
RP11-322N21.2,0
POMGNT1,109
LURAP1,3
RAD54L,3
LRRC41,136
UQCRH,4612
NSUN4,82
FAAH,14
RP5-1109J22.2,0
LINC00505,3
DMBX1,2
MKNK1-AS1,0
KNCN,0
MKNK1,346
MOB3C,71
ATPAF1,69
EFCAB14,703
TEX38,0
EFCAB14-AS1,0
CYP4B1,2
CYP4A11,0
CYP4X1,0
CYP4Z1,0
CYP4A22-AS1,11
CYP4A22,0
LINC00853,0
PDZK1IP1,3
TAL1,6
RP1-18D14.7,0
STIL,18
CMPK1,704
RP11-511I2.2,2
FOXE3,0
FOXD2-AS1,10
FOXD2,7
RP11-543D5.1,0
TRABD2B,0
RP11-543D5.2,0
FLJ00388,0
RP11-330M19.1,0
RP4-683M8.2,0
RP11-193P11.3,0
AL109659.1,0
RP5-1024N4.2,0
SLC5A9,4
RP5-1024N4.4,1
SPATA6,111
AGBL4,7
BEND5,39
RP11-141A19.1,0
RP11-141A19.2,0
AL645730.2,1
ELAVL4,1
RP11-567C20.2,0
RP11-567C20.3,0
DMRTA2,0
RP5-850O15.4,9
FAF1,78
RP5-850O15.3,0
CDKN2C,90
C1orf185,0
RP11-296A18.3,9
RNF11,275
RP11-296A18.6,2
TTC39A,38
RP11-275F13.1,3
EPS15,868
RP11-253A20.1,2
RP11-191G24.1,0
OSBPL9,179
NRD1,750
RP4-657D16.3,8
RP4-657D16.6,0
RAB3B,38
TXNDC12,476
KTI12,101
RP11-91A18.4,0
TXNDC12-AS1,0
BTF3L4,777
ZFYVE9,10
CC2D1B,72
RP11-155O18.6,0
ORC1,2
PRPF38A,623
ZCCHC11,1108
RP11-25O10.2,0
GPX7,153
FAM159A,125
COA7,30
ZYG11B,200
ZYG11A,3
RP4-631H13.2,0
ECHDC2,537
SCP2,1668
PODN,8
RP11-334A14.5,0
SLC1A7,85
RP11-334A14.8,0
CPT2,128
RP5-1024G6.2,2
C1orf123,453
RP5-1024G6.7,7
MAGOH,695
RP5-1024G6.5,0
RP5-1024G6.8,13
LRP8,17
RP4-784A16.1,0
RP4-784A16.2,0
RP4-784A16.4,0
RP4-784A16.5,6
RP11-117D22.1,0
RP11-117D22.2,37
DMRTB1,0
GLIS1,0
NDC1,56
YIPF1,140
DIO1,0
HSPB11,809
LRRC42,46
LDLRAD1,0
RP4-758J24.5,10
TMEM59,2410
TCEANC2,118
AL161915.1,10
CDCP2,0
RP11-446E24.4,1
AL357673.1,58
CYB5RL,30
MRPL37,292
SSBP3,273
SSBP3-AS1,0
RP5-997D24.3,0
RP4-705F19.1,0
RP5-866L20.1,0
ACOT11,32
FAM151A,0
MROH7-TTC4,0
MROH7,0
TTC4,37
PARS2,27
TTC22,25
RP11-67L3.2,0
C1orf177,7
DHCR24,27
RP11-67L3.5,0
RP11-67L3.4,0
TMEM61,0
RP11-12C17.2,0
BSND,1
PCSK9,0
USP24,282
RP11-101C11.1,1
RP11-466L17.1,0
RP11-90C4.1,0
RP11-90C4.2,0
RP11-90C4.3,0
RP1-158P9.1,0
RP11-504A18.1,1
RP4-710M16.2,0
PPAP2B,16
PRKAA2,2
C1orf168,0
RP11-378I13.1,0
C8A,0
C8B,0
RP5-1103B4.3,0
DAB1,3
RP6-102O10.1,0
DAB1-AS1,1
RP11-393I23.4,0
OMA1,344
TACSTD2,0
MYSM1,389
JUN,3198
LINC01135,6
RP11-63G10.3,0
RP11-63G10.2,0
RP4-794H19.1,9
RP4-794H19.4,9
RP11-145M4.1,0
RP11-145M4.2,0
RP11-145M4.3,1
RP11-467C18.1,0
FGGY,54
RP4-782L23.2,0
RP4-782L23.1,0
HOOK1,33
CYP2J2,2
C1orf87,0
RP11-575B7.3,0
RP11-776H12.1,0
RP11-436K8.1,0
NFIA,197
RP4-668G5.1,0
RP5-833A20.1,0
TM2D1,863
RP11-430G17.3,12
INADL,161
L1TD1,10
KANK4,0
USP1,531
DOCK7,53
ANGPTL3,0
AL138847.1,0
RP11-230B22.1,0
ATG4C,198
RP4-771M4.3,0
RP11-5P4.1,0
RP11-5P4.2,0
RP11-5P4.3,0
RP11-335E6.2,0
RP11-335E6.4,0
LINC00466,0
RP11-335E6.3,0
RP4-792G4.2,1
FOXD3,0
ALG6,197
ITGB3BP,467
EFCAB7,54
DLEU2L,53
PGM1,191
ROR1,1
RP11-24J23.2,6
UBE2U,0
CACHD1,0
RAVER2,7
JAK1,1926
RP11-182I10.3,6
RP4-535B20.4,3
RP4-535B20.1,0
AK4,10
DNAJC6,2
RP5-1044H5.1,0
LEPR,31
LEPROT,471
PDE4B,287
RP11-397C12.1,0
SGIP1,4
AL139147.1,2
TCTEX1D1,4
INSL5,0
WDR78,10
RP11-342H21.2,0
MIER1,897
SLC35D1,131
C1orf141,0
IL23R,6
IL12RB2,23
SERBP1,2309
RP4-763G1.2,0
GADD45A,97
GNG12,1
GNG12-AS1,0
DIRAS3,0
WLS,64
RPE65,1
DEPDC1,3
RP4-694A7.2,0
RP4-694A7.4,0
RP11-424D14.1,0
RP11-74K19.1,0
RP3-380B4.1,0
LRRC7,32
RP11-181B18.1,0
LRRC40,130
SRSF11,2147
RP4-677H15.4,0
ANKRD13C,173
HHLA3,96
RP11-180O5.2,0
CTH,19
RP11-42O15.3,1
RP5-952N6.1,0
RP11-99H8.1,0
PTGER3,1
RP3-333A15.1,0
ZRANB2-AS1,2
ZRANB2,1495
RP11-386O9.2,0
NEGR1,31
RP11-82L20.1,0
RP4-660H19.1,0
RP11-262K1.1,0
RP4-598G3.1,3
RP4-788P17.1,0
LRRIQ3,44
FPGT,115
FPGT-TNNI3K,6
TNNI3K,1
RP11-439H8.4,0
RP4-650F12.2,0
LRRC53,0
C1orf173,4
RP4-612J11.1,0
RP11-17E13.2,4
CRYZ,166
TYW3,286
RP11-93N20.1,0
RP11-510C10.4,0
RP11-510C10.2,0
LHX8,0
RP11-510C10.3,0
SLC44A5,5
RP4-682C21.5,2
ACADM,355
RABGGTB,589
MSH4,0
ASB17,0
RP11-550H2.1,0
RP11-550H2.2,0
ST6GALNAC3,42
RP5-1102E8.3,2
RP11-415A20.1,0
ST6GALNAC5,0
RP4-564M11.2,0
PIGK,203
AK5,52
RP11-375A5.1,0
ZZZ3,224
USP33,588
FAM73A,272
NEXN-AS1,11
NEXN,52
FUBP1,738
DNAJB4,81
GIPC2,3
RP11-386I14.4,100
PTGFR,1
IFI44L,76
IFI44,254
ELTD1,1
RP4-726F1.1,0
RP11-339A11.2,0
RP11-339D23.1,0
RP11-115A15.1,0
RP5-887A10.1,578
LPHN2,0
RP5-837I24.2,0
RP5-837I24.4,0
RP11-147G16.1,0
RP4-601K24.1,0
RP11-170N11.1,0
RP11-413G15.1,0
RP11-475O6.1,24
RP5-836J3.1,0
TTLL7,153
RP11-486G15.2,74
PRKACB,803
SAMD13,16
DNASE2B,0
RPF1,346
GNG5,2293
CTBS,416
C1orf180,0
SSX2IP,110
LPAR3,16
MCOLN2,92
WDR63,2
MCOLN3,21
SYDE2,38
C1orf52,367
BCL10,311
RP11-131L23.1,10
DDAH1,0
RP11-131L23.2,0
RP11-290M5.4,0
CYR61,3
RP11-290M5.2,0
ZNHIT6,267
COL24A1,11
ODF2L,1421
CLCA2,0
CLCA1,0
CLCA4,0
RP4-651E10.4,2
RP4-612B15.3,8
SH3GLB1,1178
15-Sep,2031
HS2ST1,131
RP4-604K5.3,2
RP4-604K5.2,6
RP5-1052I5.2,0
LINC01140,0
LMO4,325
RP4-544H6.2,0
RP5-1027O11.1,0
RP11-76N22.2,0
PKN2,775
GTF2B,349
CCBL2,288
RBMXL1,213
GBP3,352
GBP1,355
GBP2,884
GBP7,41
GBP4,304
GBP5,587
RP4-620F22.2,0
GBP6,1
LRRC8B,80
RP5-1007M22.2,58
LRRC8C,318
RP11-302M6.4,0
RP5-943J3.2,2
LRRC8D,105
RP11-302M6.5,1
ZNF326,330
RP5-827O9.1,0
BARHL2,0
RP4-665J23.1,4
RP4-665J23.2,0
RP4-665J23.4,0
ZNF644,744
HFM1,0
CDC7,59
TGFBR3,316
BRDT,18
EPHX4,15
BTBD8,44
KIAA1107,24
RP4-621B10.8,1
C1orf146,0
GLMN,522
RPAP2,485
GFI1,30
EVI5,226
RPL5,33887
FAM69A,78
MTF2,587
TMED5,580
CCDC18,149
DR1,878
FNBP1L,23
BCAR3,2
RP5-1033H22.2,0
RP4-561L24.3,3
DNTTIP2,430
GCLM,171
ABCA4,0
RP11-78O9.1,0
ARHGAP29,65
RP11-148B18.1,0
RP11-148B18.4,0
RP11-148B18.3,0
ABCD3,167
F3,1
RP11-86H7.6,0
RP11-86H7.7,0
LINC01057,0
SLC44A3,1
CNN3,22
RP4-639F20.1,2
ALG14,73
RP11-313A24.1,0
TMEM56,17
TMEM56-RWDD3,0
RP11-57H12.3,3
RWDD3,21
RP11-57H12.5,0
RP4-586O15.1,0
RP11-14O19.1,0
RP11-14O19.2,0
RP4-617C6.1,0
RP11-286B14.1,0
RP11-286B14.2,0
RP11-147C23.1,0
RP5-898J17.1,0
PTBP2,259
DPYD,637
DPYD-AS1,2
DPYD-AS2,2
RP11-272L13.3,0
RP11-490G2.2,0
MIR137HG,0
RP5-1070A16.1,0
SNX7,4
LPPR5,0
RP5-896L10.1,0
LPPR4,0
RP11-413P11.1,0
PALMD,2
FRRS1,9
AGL,284
RP5-884G6.2,6
SLC35A3,311
HIAT1,379
RP4-714D9.2,0
SASS6,99
TRMT13,512
LRRC39,6
DBT,154
RP11-305E17.6,7
RTCA,289
RP5-837M10.2,0
CDC14A,287
RP5-837M10.4,0
GPR88,0
RP11-84O12.4,0
VCAM1,3
EXTL2,73
RP4-549L20.3,18
SLC30A7,465
DPH5,473
AC093157.1,45
RP11-421L21.2,7
RP11-421L21.3,108
RP4-575N6.4,58
S1PR1,302
RP11-157N3.1,3
RP11-411H5.1,0
OLFM3,0
RP11-202K23.1,0
RP5-936J12.1,0
COL11A1,1
RP11-347K2.1,0
RP11-347K2.2,0
RP11-153F1.2,0
RP11-153F1.1,0
RNPC3,516
AMY2B,75
AMY2A,0
AMY1A,2
AMY1B,1
AMY1C,0
RP11-364B6.1,9
RP11-251P6.1,0
RP11-24P14.1,0
RP5-947P14.1,0
RP11-233E12.1,0
PRMT6,93
NTNG1,2
VAV3,289
VAV3-AS1,19
RP11-356N1.2,12
SLC25A24,349
RP11-483I13.5,9
NBPF4,0
RP11-483I13.2,1
NBPF6,0
